,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
65,ALACHUA,2340,5545,-,-,-,1132,1597,1387,7399,1828,25537
16,BAKER,238,967,-,-,-,57,537,20,1118,661,3023
14,BAY,665,3969,-,-,-,885,1149,521,4630,1517,10294
39,BRADFORD,289,841,-,-,-,58,52,34,1156,50,2910
41,BREVARD,1305,6437,-,-,-,979,3003,1283,6901,3540,30818
61,BROWARD,21766,38091,-,-,-,12563,13743,33258,39879,13026,192490
4,CALHOUN,105,487,-,-,-,55,82,29,593,107,1468
55,CHARLOTTE,234,2852,-,-,-,324,313,292,2963,468,8770
31,CITRUS,188,2668,-,-,-,239,199,165,2819,310,8673
21,CLAY,887,3729,-,-,-,496,1071,557,4427,1199,15316
46,COLLIER,844,7670,-,-,-,1599,4366,5431,4790,4258,29334
15,COLUMBIA,1245,2640,-,-,-,189,210,259,3752,273,7498
47,DADE,16092,79870,-,-,-,25577,63811,92771,27453,65126,327105
57,DESOTO,178,1039,-,-,-,132,333,750,546,386,4072
25,DIXIE,187,670,-,-,-,30,20,55,815,37,1809
35,DUVAL,10950,10962,-,-,-,4116,8962,2973,21089,10928,83932
62,ESCAMBIA,2633,5055,-,-,-,1494,3123,425,8290,3590,29829
58,FLAGLER,307,1295,-,-,-,372,189,292,1643,228,6501
64,FRANKLIN,232,504,-,-,-,22,20,67,635,76,1627
8,GADSDEN,1295,921,-,-,-,578,268,584,2078,400,5939
0,GILCHRIST,40,463,-,-,-,32,79,84,444,86,1422
54,GLADES,114,436,-,-,-,35,25,230,350,30,852
37,GULF,281,629,-,-,-,16,19,42,854,49,1855
13,HAMILTON,432,398,-,-,-,60,12,116,653,133,2617
22,HARDEE,130,1159,-,-,-,226,103,955,542,121,3014
59,HENDRY,255,1766,-,-,-,103,116,1470,676,94,4446
32,HERNANDO,315,2946,-,-,-,496,30,674,3063,50,8627
44,HIGHLANDS,367,1611,-,-,-,417,296,719,1584,388,6821
19,HILLSBOROUGH,6201,18681,-,-,-,7003,16506,12464,17256,18671,101671
17,HOLMES,88,702,-,-,-,54,72,34,762,120,1893
60,INDIAN RIVER,447,2249,-,-,-,373,825,756,2157,981,10573
51,JACKSON,611,1469,-,-,-,147,896,113,1631,1379,6097
10,JEFFERSON,330,281,-,-,-,42,16,33,588,48,1362
36,LAFAYETTE,349,869,-,-,-,40,21,156,1040,83,1612
26,LAKE,1060,3703,-,-,-,1699,2207,1453,4679,2537,24191
45,LEE,2142,11187,-,-,-,1343,8647,5145,9202,8972,48716
9,LEON,3102,4836,-,-,-,1614,2520,1035,6879,4158,26029
27,LEVY,176,696,-,-,-,187,93,229,806,117,3125
12,LIBERTY,126,358,-,-,-,29,25,30,389,119,2578
11,MADISON,627,351,-,-,-,56,33,55,920,92,2294
20,MANATEE,1296,7348,-,-,-,2246,2513,3834,6608,2961,28248
23,MARION,2031,7235,-,-,-,964,723,1481,8359,1113,30048
18,MARTIN,277,2591,-,-,-,1198,1315,1902,2334,1145,12383
48,MONROE,177,1717,-,-,-,98,292,836,1106,342,7089
53,NASSAU,225,1866,-,-,-,105,121,103,2070,144,6277
3,OKALOOSA,521,3300,-,-,-,1325,1337,683,4453,1347,14658
63,OKEECHOBEE,220,1239,-,-,-,199,100,659,994,105,3504
30,ORANGE,7420,16761,-,-,-,9877,12151,12975,16068,17166,104380
43,OSCEOLA,910,5672,-,-,-,4579,3118,7648,3204,3427,28129
5,PALM BEACH,8199,21973,-,-,-,9350,12754,14214,23773,14289,118241
7,PASCO,765,7952,-,-,-,1634,622,2601,7551,821,26719
33,PINELLAS,4377,16903,-,-,-,2490,2248,3064,18250,4704,61546
42,POLK,4088,13551,-,-,-,1985,3565,6730,11872,4587,41891
1,PUTNAM,651,1469,-,-,-,234,55,471,1854,84,6089
49,SANTA ROSA,607,4083,-,-,-,367,896,261,4660,1032,13729
56,SARASOTA,724,5618,-,-,-,1081,2276,1358,5483,2858,23605
29,SEMINOLE,1327,6994,-,-,-,1479,628,2796,6993,639,27412
66,ST. JOHNS,479,4798,-,-,-,465,776,546,5013,959,19012
6,ST. LUCIE,2100,3939,-,-,-,1241,1862,2078,4771,2293,20972
28,SUMTER,508,1549,-,-,-,150,740,144,1777,1026,6872
34,SUWANNEE,603,1843,-,-,-,431,127,536,2264,204,5045
2,TAYLOR,566,796,-,-,-,81,49,131,1275,86,2716
38,UNION,306,784,-,-,-,35,22,39,1092,16,2382
24,VOLUSIA,1635,6454,-,-,-,2560,2252,2084,7885,2932,33751
40,WAKULLA,233,899,-,-,-,103,91,63,1126,137,3213
50,WALTON,133,1585,-,-,-,94,440,330,1520,402,4508
52,WASHINGTON,279,766,-,-,-,51,148,35,823,386,2279
