County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2020-11-05,5727,2396,-,-,-,-,1157,1622,1431,7623,1848,10902
Baker County,2020-11-05,992,240,-,-,-,-,60,541,20,1145,668,1833
Bay County,2020-11-05,4111,679,-,-,-,-,881,1162,535,4763,1535,6833
Bradford County,2020-11-05,851,292,-,-,-,-,58,52,34,1169,50,1253
Brevard County,2020-11-05,6687,1352,-,-,-,-,1009,3209,1336,7167,3754,12257
Broward County,2020-11-05,39468,22044,-,-,-,-,12906,13942,34181,41005,13174,88360
Calhoun County,2020-11-05,500,108,-,-,-,-,55,81,29,607,108,744
Charlotte County,2020-11-05,2942,240,-,-,-,-,332,347,303,3056,502,3861
Citrus County,2020-11-05,2739,192,-,-,-,-,242,215,170,2901,317,3388
Clay County,2020-11-05,3861,906,-,-,-,-,515,1096,587,4582,1209,6378
Collier County,2020-11-05,7905,856,-,-,-,-,1628,4415,5507,5012,4285,14804
Columbia County,2020-11-05,2670,1256,-,-,-,-,189,212,264,3793,270,4327
Dade County,2020-11-05,82557,16296,-,-,-,-,26373,63984,95873,28344,64993,189210
Desoto County,2020-11-05,1050,181,-,-,-,-,136,333,754,562,384,1700
Dixie County,2020-11-05,676,188,-,-,-,-,30,21,55,823,37,915
Duval County,2020-11-05,11295,11085,-,-,-,-,4182,9248,3074,21641,11095,35810
Escambia County,2020-11-05,5210,2670,-,-,-,-,1540,3165,430,8511,3644,12585
Flagler County,2020-11-05,1336,313,-,-,-,-,387,194,304,1690,236,2230
Franklin County,2020-11-05,510,232,-,-,-,-,23,21,68,641,77,786
Gadsden County,2020-11-05,930,1299,-,-,-,-,578,265,584,2091,397,3072
Gilchrist County,2020-11-05,470,40,-,-,-,-,32,80,84,451,87,622
Glades County,2020-11-05,446,114,-,-,-,-,35,28,238,353,32,623
Gulf County,2020-11-05,649,282,-,-,-,-,17,20,43,875,50,968
Hamilton County,2020-11-05,404,434,-,-,-,-,61,12,117,660,134,911
Hardee County,2020-11-05,1169,131,-,-,-,-,228,105,962,551,120,1633
Hendry County,2020-11-05,1784,262,-,-,-,-,108,121,1487,692,96,2275
Hernando County,2020-11-05,3037,320,-,-,-,-,506,27,687,3153,50,3890
Highlands County,2020-11-05,1695,377,-,-,-,-,424,314,738,1661,411,2810
Hillsborough County,2020-11-05,19271,6336,-,-,-,-,7141,16754,12810,17872,18820,49502
Holmes County,2020-11-05,727,88,-,-,-,-,55,75,35,787,123,945
Indian River County,2020-11-05,2348,456,-,-,-,-,377,833,775,2257,982,4014
Jackson County,2020-11-05,1525,626,-,-,-,-,151,916,115,1697,1406,3218
Jefferson County,2020-11-05,289,336,-,-,-,-,42,16,33,602,48,683
Lafayette County,2020-11-05,877,350,-,-,-,-,40,20,156,1048,83,1287
Lake County,2020-11-05,3840,1068,-,-,-,-,1731,2345,1503,4826,2655,8984
