,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-13,GILCHRIST,67,660,-,-,-,39,93,92,659,108,1742
1,2020-12-13,PUTNAM,801,2057,-,-,-,294,77,553,2570,106,7117
2,2020-12-13,TAYLOR,604,984,-,-,-,82,83,134,1493,126,3072
3,2020-12-13,OKALOOSA,816,5502,-,-,-,1721,2572,934,7181,2496,20184
4,2020-12-13,CALHOUN,116,645,-,-,-,124,97,30,798,154,1832
5,2020-12-13,PALM BEACH,10158,32915,-,-,-,12061,16640,19060,34188,18526,142068
6,2020-12-13,ST. LUCIE,2527,5617,-,-,-,1585,2281,2718,6528,2764,25082
7,2020-12-13,PASCO,1085,12579,-,-,-,2229,1735,3631,11702,2295,35384
8,2020-12-13,GADSDEN,1530,1056,-,-,-,651,267,668,2431,405,6511
9,2020-12-13,LEON,4832,6894,-,-,-,2061,2583,1515,10734,4121,31326
10,2020-12-13,JEFFERSON,403,342,-,-,-,52,22,40,723,56,1608
11,2020-12-13,MADISON,762,512,-,-,-,70,46,72,1192,126,2787
12,2020-12-13,LIBERTY,128,452,-,-,-,33,31,32,485,127,2724
13,2020-12-13,HAMILTON,463,492,-,-,-,70,20,127,778,140,2858
14,2020-12-13,BAY,857,5748,-,-,-,1037,1775,678,6524,2215,13633
15,2020-12-13,COLUMBIA,1422,3183,-,-,-,228,279,296,4404,412,8465
16,2020-12-13,BAKER,273,1251,-,-,-,75,583,22,1409,751,3601
17,2020-12-13,HOLMES,94,1012,-,-,-,77,110,43,1069,181,2405
18,2020-12-13,MARTIN,328,3398,-,-,-,1254,1773,1978,3098,1677,14401
19,2020-12-13,HILLSBOROUGH,7983,27351,-,-,-,9771,19862,17636,25600,21731,122340
20,2020-12-13,MANATEE,1653,10652,-,-,-,2807,3434,4699,9846,4001,34123
21,2020-12-13,CLAY,1229,5576,-,-,-,684,1632,801,6267,2053,18720
22,2020-12-13,HARDEE,136,1329,-,-,-,256,151,1042,657,173,3420
23,2020-12-13,MARION,2410,9975,-,-,-,1190,1221,2044,11053,1699,34572
24,2020-12-13,VOLUSIA,2108,10052,-,-,-,3250,2954,2842,11014,4508,40370
25,2020-12-13,DIXIE,192,746,-,-,-,35,22,55,903,37,1925
26,2020-12-13,LAKE,1295,5766,-,-,-,2143,2963,2084,6756,3327,28218
27,2020-12-13,LEVY,263,991,-,-,-,203,117,272,1154,148,3787
28,2020-12-13,SUMTER,522,2220,-,-,-,202,1048,185,2445,1362,8103
29,2020-12-13,SEMINOLE,1746,9416,-,-,-,2102,1936,3805,9322,2073,33326
30,2020-12-13,ORANGE,9317,24395,-,-,-,13375,16302,20501,23496,19392,121756
31,2020-12-13,CITRUS,265,4499,-,-,-,347,388,302,4620,577,11763
32,2020-12-13,HERNANDO,405,4538,-,-,-,731,269,1014,4495,434,11626
33,2020-12-13,PINELLAS,5219,24595,-,-,-,3285,3905,4179,25281,7544,73155
34,2020-12-13,SUWANNEE,649,2221,-,-,-,475,165,575,2691,244,5705
35,2020-12-13,DUVAL,14401,17906,-,-,-,5512,11600,4083,29007,16329,99644
36,2020-12-13,LAFAYETTE,355,968,-,-,-,43,22,162,1140,86,1749
37,2020-12-13,GULF,293,783,-,-,-,22,30,44,1025,59,2072
38,2020-12-13,UNION,335,907,-,-,-,40,23,40,1242,23,2588
39,2020-12-13,BRADFORD,336,1098,-,-,-,72,59,42,1451,72,3351
40,2020-12-13,WAKULLA,276,1295,-,-,-,116,100,75,1557,155,3915
41,2020-12-13,BREVARD,1730,9223,-,-,-,1455,5159,1846,10016,5705,36693
42,2020-12-13,POLK,4897,19365,-,-,-,3112,3602,10062,16785,4129,50913
43,2020-12-13,OSCEOLA,1292,8802,-,-,-,6666,4383,12188,4943,4012,36106
44,2020-12-13,HIGHLANDS,452,2725,-,-,-,548,528,989,2618,646,8716
45,2020-12-13,LEE,2884,18413,-,-,-,2584,9780,7354,16185,10122,61233
46,2020-12-13,COLLIER,1034,10990,-,-,-,2058,5385,6643,7648,5176,35417
47,2020-12-13,DADE,20079,126391,-,-,-,39809,68704,145893,41813,67277,401491
48,2020-12-13,MONROE,250,2783,-,-,-,127,532,1194,1863,635,9086
49,2020-12-13,SANTA ROSA,717,6295,-,-,-,496,1232,359,6971,1410,17024
50,2020-12-13,WALTON,287,2502,-,-,-,165,832,434,2494,858,6297
51,2020-12-13,JACKSON,771,2118,-,-,-,201,991,129,2496,1456,7158
52,2020-12-13,WASHINGTON,310,1084,-,-,-,81,169,49,1172,423,2795
53,2020-12-13,NASSAU,272,2795,-,-,-,136,232,128,2939,368,7957
54,2020-12-13,GLADES,127,518,-,-,-,38,33,261,419,36,993
55,2020-12-13,CHARLOTTE,341,4465,-,-,-,445,750,428,4508,1065,11207
56,2020-12-13,SARASOTA,930,10102,-,-,-,1357,2941,1934,9139,4257,30904
57,2020-12-13,DESOTO,223,1458,-,-,-,168,743,891,867,834,4733
58,2020-12-13,FLAGLER,404,1845,-,-,-,481,290,399,2268,353,7761
59,2020-12-13,HENDRY,331,2104,-,-,-,149,171,1691,922,142,5185
60,2020-12-13,INDIAN RIVER,565,3586,-,-,-,444,880,1113,3348,1014,12711
61,2020-12-13,BROWARD,26981,58038,-,-,-,17615,16280,46152,55473,17289,242490
62,2020-12-13,ESCAMBIA,3317,7561,-,-,-,1983,3831,548,11547,4597,34698
63,2020-12-13,OKEECHOBEE,238,1576,-,-,-,225,118,823,1222,112,4080
64,2020-12-13,FRANKLIN,233,557,-,-,-,23,23,68,689,79,1714
65,2020-12-13,ALACHUA,3191,7508,-,-,-,1452,1751,1821,10091,1990,29141
66,2020-12-13,ST. JOHNS,643,7294,-,-,-,694,1536,761,7403,2003,24817
