County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,1596,1436,-,-,-,-,560,1108,554,2832,1314,4700
Baker County,459,139,-,-,-,-,44,446,14,553,521,1088
Bay County,2686,497,-,-,-,-,607,1070,352,3053,1455,4860
Bradford County,340,178,-,-,-,-,25,46,20,502,67,589
Brevard County,3459,818,-,-,-,-,592,1777,836,3740,2070,6646
Broward County,26947,17916,-,-,-,-,7767,14357,24584,28596,13807,66987
Calhoun County,319,83,-,-,-,-,35,74,22,403,86,511
Charlotte County,1876,146,-,-,-,-,160,227,189,1903,317,2409
Citrus County,1440,109,-,-,-,-,137,143,99,1522,208,1829
Clay County,1877,605,-,-,-,-,309,735,353,2359,814,3526
Collier County,5373,665,-,-,-,-,1165,3670,4390,2730,3753,10873
Columbia County,1426,619,-,-,-,-,131,908,150,1874,1060,3084
Desoto County,876,145,-,-,-,-,95,307,678,396,349,1423
Dixie County,415,138,-,-,-,-,14,53,35,517,68,620
Duval County,6297,8253,-,-,-,-,2567,7587,2020,12721,9963,24704
Escambia County,3663,2279,-,-,-,-,811,2806,338,6036,3185,9559
Flagler County,662,184,-,-,-,-,238,84,185,874,109,1168
Franklin County,270,196,-,-,-,-,3,7,40,379,57,476
Gadsden County,566,776,-,-,-,-,306,412,364,1103,593,2060
Gilchrist County,343,27,-,-,-,-,20,30,61,324,35,420
Glades County,308,79,-,-,-,-,23,15,183,219,23,425
Gulf County,468,255,-,-,-,-,15,17,40,671,44,755
Hamilton County,283,301,-,-,-,-,45,8,93,389,155,637
Hardee County,741,91,-,-,-,-,120,64,630,313,73,1016
Hendry County,1496,219,-,-,-,-,76,98,1285,522,82,1889
Hernando County,1728,246,-,-,-,-,291,36,412,1829,60,2301
Highlands County,986,255,-,-,-,-,221,192,458,932,264,1654
Hillsborough Count,11866,4519,-,-,-,-,4748,13575,8697,10281,15730,34708
Holmes County,395,81,-,-,-,-,38,33,25,443,79,547
Indian River County,1226,320,-,-,-,-,306,812,545,1124,995,2664
Jackson County,902,409,-,-,-,-,96,736,76,897,1170,2143
Jefferson County,184,253,-,-,-,-,21,9,23,411,33,467
Lafayette County,487,187,-,-,-,-,31,417,74,547,501,1122
Lake County,1889,720,-,-,-,-,1141,1972,899,2403,2420,5722
Lee County,7485,1727,-,-,-,-,865,7220,3994,5736,7567,17297
Leon County,1655,1743,-,-,-,-,644,1398,392,2921,2127,5440
Levy County,409,133,-,-,-,-,161,96,190,480,129,799
Liberty County,267,114,-,-,-,-,14,15,18,291,101,410
Madison County,205,509,-,-,-,-,34,16,46,658,60,764
Manatee County,4513,939,-,-,-,-,1398,2966,2546,3600,3670,9816
Marion County,4573,1560,-,-,-,-,623,844,1029,5226,1345,7600
Martin County,1817,239,-,-,-,-,1059,852,1810,1512,645,3967
Monroe County,1146,128,-,-,-,-,73,289,630,680,326,1636
Nassau County,861,132,-,-,-,-,66,224,68,953,262,1283
Okaloosa County,2052,356,-,-,-,-,664,703,508,2422,845,3775
Okeechobee County,782,121,-,-,-,-,158,104,550,499,116,1165
Orange County,8100,4634,-,-,-,-,5973,14824,6413,8052,19066,33531
Osceola County,3379,598,-,-,-,-,3128,3290,4760,1847,3788,10395
Palm Beach County,14598,6308,-,-,-,-,6945,11460,10784,15434,13093,39311
Pasco County,5206,556,-,-,-,-,1193,559,1803,4961,750,7514
Pinellas County,9970,3311,-,-,-,-,1616,3955,2115,11618,5119,18852
Polk County,7687,2788,-,-,-,-,1483,3711,4172,6537,4960,15669
Putnam County,848,471,-,-,-,-,199,120,349,1123,166,1638
Santa Rosa County,2638,538,-,-,-,-,230,857,177,3096,990,4263
Sarasota County,2790,412,-,-,-,-,576,2982,668,2475,3617,6760
Seminole County,3437,857,-,-,-,-,1060,2186,1252,3036,3252,7540
St. Johns County,2650,323,-,-,-,-,248,762,303,2783,897,3983
St. Lucie County,2158,1427,-,-,-,-,959,1814,1358,2652,2348,6358
Sumter County,882,285,-,-,-,-,84,352,76,1071,456,1603
Suwannee County,1258,498,-,-,-,-,327,194,479,1511,287,2277
Taylor County,540,491,-,-,-,-,63,17,121,933,57,1111
Union County,342,137,-,-,-,-,17,5,17,468,16,501
Volusia County,4008,1140,-,-,-,-,1783,1616,1527,4900,2120,8547
Wakulla County,501,173,-,-,-,-,60,56,45,655,90,790
Walton County,1082,86,-,-,-,-,64,168,275,969,156,1400
Washington County,516,222,-,-,-,-,30,179,25,547,375,947
