,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,GILCHRIST,40,460,-,-,-,32,79,84,439,88,1418
1,PUTNAM,650,1462,-,-,-,234,53,471,1846,82,6075
2,TAYLOR,566,791,-,-,-,81,46,132,1269,83,2708
3,OKALOOSA,518,3275,-,-,-,1318,1326,679,4426,1332,14589
4,CALHOUN,105,483,-,-,-,55,82,29,590,106,1463
5,PALM BEACH,8163,21788,-,-,-,9314,12682,14122,23543,14282,117793
6,ST. LUCIE,2094,3916,-,-,-,1238,1845,2066,4742,2285,20906
7,PASCO,758,7890,-,-,-,1629,607,2584,7497,803,26581
8,GADSDEN,1291,918,-,-,-,575,274,581,2068,409,5935
9,LEON,3094,4806,-,-,-,1609,2530,1028,6845,4166,25953
10,JEFFERSON,329,280,-,-,-,42,16,33,586,48,1358
11,MADISON,627,350,-,-,-,56,33,55,918,93,2293
12,LIBERTY,127,357,-,-,-,29,25,30,389,119,2579
13,HAMILTON,431,398,-,-,-,59,11,114,652,133,2615
14,BAY,663,3965,-,-,-,883,1144,518,4624,1513,10272
15,COLUMBIA,1244,2631,-,-,-,186,208,258,3742,269,7481
16,BAKER,238,962,-,-,-,57,532,20,1115,654,3011
17,HOLMES,88,703,-,-,-,54,73,34,762,122,1894
18,MARTIN,276,2581,-,-,-,1198,1312,1902,2320,1145,12352
19,HILLSBOROUGH,6156,18504,-,-,-,6949,16405,12366,17028,18620,101191
20,MANATEE,1291,7279,-,-,-,2241,2506,3817,6529,2971,28109
21,CLAY,882,3714,-,-,-,495,1047,555,4405,1178,15261
22,HARDEE,129,1157,-,-,-,226,98,953,540,117,2999
23,MARION,2027,7202,-,-,-,961,712,1476,8321,1105,29981
24,VOLUSIA,1630,6406,-,-,-,2550,2236,2072,7832,2918,33638
25,DIXIE,187,663,-,-,-,30,20,55,808,37,1799
26,LAKE,1055,3674,-,-,-,1691,2201,1449,4637,2535,24122
27,LEVY,176,690,-,-,-,187,91,228,799,117,3111
28,SUMTER,508,1540,-,-,-,150,736,144,1767,1023,6857
29,SEMINOLE,1321,6968,-,-,-,1470,610,2785,6961,623,27319
30,ORANGE,7379,16569,-,-,-,9806,12167,12861,15933,17127,104045
31,CITRUS,188,2637,-,-,-,238,198,163,2792,306,8628
32,HERNANDO,313,2919,-,-,-,492,23,666,3040,41,8565
33,PINELLAS,4367,16794,-,-,-,2474,2156,3052,18121,4618,61302
34,SUWANNEE,603,1836,-,-,-,431,127,536,2256,205,5032
35,DUVAL,10905,10881,-,-,-,4096,8938,2950,20938,10932,83655
36,LAFAYETTE,349,869,-,-,-,40,21,156,1040,83,1612
37,GULF,278,619,-,-,-,16,19,42,841,49,1841
38,UNION,306,780,-,-,-,35,18,39,1086,14,2370
39,BRADFORD,288,840,-,-,-,58,52,34,1154,50,2907
40,WAKULLA,233,894,-,-,-,103,89,63,1121,135,3200
41,BREVARD,1299,6416,-,-,-,973,2999,1286,6878,3523,30767
42,POLK,4076,13457,-,-,-,1969,3545,6677,11797,4573,41708
43,OSCEOLA,899,5633,-,-,-,4554,3100,7603,3175,3408,27992
44,HIGHLANDS,367,1602,-,-,-,413,283,717,1574,374,6780
45,LEE,2126,11097,-,-,-,1338,8665,5111,9118,8997,48586
46,COLLIER,843,7621,-,-,-,1594,4344,5409,4752,4241,29231
47,DADE,16020,79272,-,-,-,25412,63739,91982,27209,65252,326007
48,MONROE,177,1698,-,-,-,98,282,831,1089,335,7046
49,SANTA ROSA,603,4066,-,-,-,364,893,260,4638,1028,13693
50,WALTON,129,1567,-,-,-,92,435,329,1498,396,4475
51,JACKSON,608,1461,-,-,-,147,892,113,1620,1375,6082
52,WASHINGTON,278,762,-,-,-,51,146,35,818,384,2271
53,NASSAU,225,1860,-,-,-,105,122,102,2063,147,6266
54,GLADES,114,435,-,-,-,35,26,230,350,30,850
55,CHARLOTTE,234,2834,-,-,-,323,306,292,2948,457,8739
56,SARASOTA,720,5565,-,-,-,1076,2274,1351,5425,2859,23473
57,DESOTO,178,1033,-,-,-,132,330,748,541,384,4058
58,FLAGLER,306,1283,-,-,-,371,179,287,1632,220,6465
59,HENDRY,254,1764,-,-,-,102,116,1468,674,94,4437
60,INDIAN RIVER,445,2228,-,-,-,373,817,752,2132,979,10509
61,BROWARD,21668,37645,-,-,-,12436,13693,32926,39474,13042,191246
62,ESCAMBIA,2616,5029,-,-,-,1487,3127,423,8241,3595,29770
63,OKEECHOBEE,220,1232,-,-,-,198,95,656,984,105,3478
64,FRANKLIN,232,493,-,-,-,22,20,67,624,76,1617
65,ALACHUA,2312,5482,-,-,-,1120,1577,1372,7310,1809,25409
66,ST. JOHNS,477,4762,-,-,-,463,776,542,4980,956,18908
