,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
25,2020-10-31 04:00:00,ALL GEORGIA,149521,100146,6356,-,-,-,231,105690,46298,207142,108504,361944
22,2020-10-31 04:00:00,APPLING,598,203,6,-,-,-,2,370,115,649,415,1179
20,2020-10-31 04:00:00,ATKINSON,235,56,0,-,-,-,0,195,149,222,115,486
21,2020-10-31 04:00:00,BACON,393,89,2,-,-,-,0,156,103,432,105,640
26,2020-10-31 04:00:00,BAKER,37,46,0,-,-,-,0,9,10,68,14,92
4,2020-10-31 04:00:00,BALDWIN,1134,662,15,-,-,-,1,525,59,1573,705,2337
30,2020-10-31 04:00:00,BANKS,443,18,6,-,-,-,1,106,40,416,118,574
28,2020-10-31 04:00:00,BARROW,1570,325,71,-,-,-,1,705,335,1614,723,2672
29,2020-10-31 04:00:00,BARTOW,2032,372,35,-,-,-,3,1272,479,1732,1503,3714
31,2020-10-31 04:00:00,BEN HILL,385,251,4,-,-,-,0,247,41,595,251,887
104,2020-10-31 04:00:00,BERRIEN,345,66,0,-,-,-,2,90,30,402,71,503
2,2020-10-31 04:00:00,BIBB,1666,3620,56,-,-,-,1,1364,161,4871,1675,6707
27,2020-10-31 04:00:00,BLECKLEY,313,167,2,-,-,-,0,33,17,431,67,515
35,2020-10-31 04:00:00,BRANTLEY,358,21,1,-,-,-,0,93,3,372,98,473
131,2020-10-31 04:00:00,BROOKS,179,230,1,-,-,-,0,143,40,361,152,553
127,2020-10-31 04:00:00,BRYAN,811,199,12,-,-,-,1,290,47,936,330,1313
36,2020-10-31 04:00:00,BULLOCH,1678,709,19,-,-,-,0,722,129,2188,811,3128
118,2020-10-31 04:00:00,BURKE,253,488,3,-,-,-,0,157,31,652,218,901
37,2020-10-31 04:00:00,BUTTS,369,219,1,-,-,-,0,160,10,508,231,749
135,2020-10-31 04:00:00,CALHOUN,67,160,2,-,-,-,0,48,9,201,67,277
116,2020-10-31 04:00:00,CAMDEN,786,333,14,-,-,-,0,326,68,1018,373,1459
38,2020-10-31 04:00:00,CANDLER,272,105,0,-,-,-,0,173,80,327,143,550
106,2020-10-31 04:00:00,CARROLL,1805,724,7,-,-,-,1,891,233,1503,1692,3428
34,2020-10-31 04:00:00,CATOOSA,933,44,7,-,-,-,2,507,46,790,657,1493
32,2020-10-31 04:00:00,CHARLTON,208,131,5,-,-,-,0,305,98,254,297,649
33,2020-10-31 04:00:00,CHATHAM,3825,3783,149,-,-,-,12,1778,619,6880,2048,9547
42,2020-10-31 04:00:00,CHATTAHOOCHEE,1245,219,30,-,-,-,0,310,104,600,1100,1804
40,2020-10-31 04:00:00,CHATTOOGA,453,74,3,-,-,-,4,442,80,406,490,976
132,2020-10-31 04:00:00,CHEROKEE,5127,401,70,-,-,-,2,1764,1277,4162,1925,7364
3,2020-10-31 04:00:00,CLARKE,3302,904,205,-,-,-,1,1453,723,3642,1500,5865
136,2020-10-31 04:00:00,CLAY,26,79,0,-,-,-,1,18,4,105,15,124
43,2020-10-31 04:00:00,CLAYTON,965,4558,228,-,-,-,4,2712,1248,4337,2882,8467
44,2020-10-31 04:00:00,CLINCH,190,131,0,-,-,-,0,140,20,307,134,461
39,2020-10-31 04:00:00,COBB,9705,5673,551,-,-,-,20,6426,4994,12354,5027,22375
5,2020-10-31 04:00:00,COFFEE,1034,566,7,-,-,-,2,696,288,1313,704,2305
41,2020-10-31 04:00:00,COLQUITT,1155,414,9,-,-,-,1,563,739,1116,287,2142
11,2020-10-31 04:00:00,COLUMBIA,2204,869,107,-,-,-,2,1318,166,2780,1554,4500
102,2020-10-31 04:00:00,COOK,283,156,1,-,-,-,0,174,50,427,137,614
45,2020-10-31 04:00:00,COWETA,1482,676,22,-,-,-,0,838,298,1851,869,3018
109,2020-10-31 04:00:00,CRAWFORD,84,69,0,-,-,-,0,43,1,137,58,196
46,2020-10-31 04:00:00,CRISP,205,301,5,-,-,-,1,152,34,479,151,664
51,2020-10-31 04:00:00,DADE,242,7,5,-,-,-,0,122,15,205,156,376
133,2020-10-31 04:00:00,DAWSON,796,9,2,-,-,-,1,119,59,730,138,927
49,2020-10-31 04:00:00,DECATUR,597,512,2,-,-,-,1,203,120,928,267,1315
113,2020-10-31 04:00:00,DEKALB,4933,9828,1089,-,-,-,12,5815,3228,12213,6236,21677
119,2020-10-31 04:00:00,DODGE,367,215,2,-,-,-,0,58,8,536,98,642
50,2020-10-31 04:00:00,DOOLY,118,194,1,-,-,-,0,66,31,290,58,379
47,2020-10-31 04:00:00,DOUGHERTY,588,2405,15,-,-,-,0,310,76,2609,633,3318
126,2020-10-31 04:00:00,DOUGLAS,1333,1934,70,-,-,-,1,866,628,2800,776,4204
48,2020-10-31 04:00:00,EARLY,140,342,1,-,-,-,0,75,6,440,112,558
55,2020-10-31 04:00:00,ECHOLS,88,7,1,-,-,-,0,150,117,66,63,246
108,2020-10-31 04:00:00,EFFINGHAM,1187,333,12,-,-,-,0,331,85,1375,403,1863
19,2020-10-31 04:00:00,ELBERT,323,305,4,-,-,-,0,137,44,582,143,769
56,2020-10-31 04:00:00,EMANUEL,501,347,7,-,-,-,1,360,33,779,404,1216
53,2020-10-31 04:00:00,EVANS,206,125,1,-,-,-,0,157,72,290,127,489
134,2020-10-31 04:00:00,FANNIN,737,2,0,-,-,-,0,102,36,674,131,841
138,2020-10-31 04:00:00,FAYETTE,886,565,33,-,-,-,2,706,149,1224,819,2192
142,2020-10-31 04:00:00,FLOYD,1995,447,29,-,-,-,5,1638,601,1788,1725,4114
54,2020-10-31 04:00:00,FORSYTH,3257,167,181,-,-,-,3,1298,773,2783,1350,4906
99,2020-10-31 04:00:00,FRANKLIN,646,88,5,-,-,-,0,223,60,660,242,962
18,2020-10-31 04:00:00,FULTON,9633,12546,630,-,-,-,25,8919,3407,19204,9142,31753
57,2020-10-31 04:00:00,GILMER,905,4,6,-,-,-,0,150,218,682,165,1065
52,2020-10-31 04:00:00,GLASCOCK,35,8,0,-,-,-,0,9,0,39,13,52
59,2020-10-31 04:00:00,GLYNN,2065,931,33,-,-,-,0,763,540,2622,630,3792
60,2020-10-31 04:00:00,GORDON,1321,86,27,-,-,-,6,1015,539,990,926,2455
64,2020-10-31 04:00:00,GRADY,477,266,0,-,-,-,1,127,227,533,111,871
107,2020-10-31 04:00:00,GREENE,232,228,0,-,-,-,0,124,30,356,198,584
58,2020-10-31 04:00:00,GWINNETT,11458,5480,1623,-,-,-,27,12630,8804,12169,10245,31218
61,2020-10-31 04:00:00,HABERSHAM,1383,44,26,-,-,-,0,456,408,1097,404,1909
140,2020-10-31 04:00:00,HALL,6258,631,59,-,-,-,1,3896,3494,5112,2239,10845
105,2020-10-31 04:00:00,HANCOCK,74,276,0,-,-,-,0,69,3,312,104,419
62,2020-10-31 04:00:00,HARALSON,524,17,0,-,-,-,0,132,5,301,367,673
141,2020-10-31 04:00:00,HARRIS,513,214,7,-,-,-,0,123,26,661,170,857
110,2020-10-31 04:00:00,HART,336,130,9,-,-,-,1,125,39,427,135,601
63,2020-10-31 04:00:00,HEARD,160,41,0,-,-,-,0,40,2,173,66,241
12,2020-10-31 04:00:00,HENRY,1677,2733,110,-,-,-,9,1866,401,3554,2440,6395
139,2020-10-31 04:00:00,HOUSTON,1350,1188,45,-,-,-,3,1154,194,2332,1214,3740
69,2020-10-31 04:00:00,IRWIN,151,98,0,-,-,-,0,112,23,239,99,361
129,2020-10-31 04:00:00,JACKSON,1656,148,50,-,-,-,2,617,236,1583,654,2473
137,2020-10-31 04:00:00,JASPER,141,59,0,-,-,-,0,49,4,183,62,249
148,2020-10-31 04:00:00,JEFF DAVIS,511,74,3,-,-,-,0,223,98,487,226,811
23,2020-10-31 04:00:00,JEFFERSON,226,495,1,-,-,-,3,132,25,642,190,857
67,2020-10-31 04:00:00,JENKINS,204,218,1,-,-,-,0,49,23,388,61,472
149,2020-10-31 04:00:00,JOHNSON,248,169,0,-,-,-,0,23,6,376,58,440
147,2020-10-31 04:00:00,JONES,364,171,0,-,-,-,0,122,5,466,186,657
143,2020-10-31 04:00:00,LAMAR,222,120,1,-,-,-,1,88,5,303,124,432
65,2020-10-31 04:00:00,LANIER,117,54,0,-,-,-,0,149,33,173,114,320
66,2020-10-31 04:00:00,LAURENS,1019,837,8,-,-,-,1,173,24,1738,276,2038
145,2020-10-31 04:00:00,LEE,391,265,5,-,-,-,0,95,15,585,156,756
146,2020-10-31 04:00:00,LIBERTY,366,624,20,-,-,-,1,278,79,889,321,1289
123,2020-10-31 04:00:00,LINCOLN,90,77,0,-,-,-,0,74,2,140,99,241
68,2020-10-31 04:00:00,LONG,164,75,1,-,-,-,0,39,22,211,46,279
8,2020-10-31 04:00:00,LOWNDES,1543,1485,27,-,-,-,3,1477,248,2992,1295,4535
70,2020-10-31 04:00:00,LUMPKIN,916,17,4,-,-,-,0,127,42,892,130,1064
9,2020-10-31 04:00:00,MACON,51,121,1,-,-,-,0,82,24,178,53,255
100,2020-10-31 04:00:00,MADISON,474,81,6,-,-,-,0,254,83,460,272,815
144,2020-10-31 04:00:00,MARION,77,78,2,-,-,-,0,48,23,146,36,205
75,2020-10-31 04:00:00,MCDUFFIE,229,270,2,-,-,-,0,202,27,406,270,703
128,2020-10-31 04:00:00,MCINTOSH,160,128,0,-,-,-,0,28,3,271,42,316
76,2020-10-31 04:00:00,MERIWETHER,202,340,3,-,-,-,1,53,3,497,99,599
17,2020-10-31 04:00:00,MILLER,161,127,0,-,-,-,0,28,10,273,33,316
154,2020-10-31 04:00:00,MITCHELL,314,445,3,-,-,-,0,88,60,620,170,850
15,2020-10-31 04:00:00,MONROE,359,258,1,-,-,-,1,155,15,569,190,774
