,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
23,2020-12-15,APPLING,689,237,7,-,-,-,2,118,768,360,409,1295
27,2020-12-15,ATKINSON,280,92,0,-,-,-,0,157,294,193,114,565
26,2020-12-15,BACON,435,98,4,-,-,-,0,109,488,158,98,695
24,2020-12-15,BAKER,51,54,0,-,-,-,0,10,88,10,17,115
1,2020-12-15,BALDWIN,1309,812,22,-,-,-,2,73,1887,528,713,2673
25,2020-12-15,BANKS,708,27,9,-,-,-,1,56,648,203,244,948
30,2020-12-15,BARROW,2322,452,119,-,-,-,1,469,2358,997,1064,3891
28,2020-12-15,BARTOW,3108,502,45,-,-,-,7,603,2725,1716,2050,5378
32,2020-12-15,BEN HILL,480,321,4,-,-,-,0,49,759,266,263,1071
108,2020-12-15,BERRIEN,470,84,0,-,-,-,2,42,538,106,82,662
2,2020-12-15,BIBB,2192,4669,91,-,-,-,0,186,6418,1241,1589,8193
33,2020-12-15,BLECKLEY,371,179,3,-,-,-,0,19,497,33,70,586
31,2020-12-15,BRANTLEY,464,24,1,-,-,-,0,4,469,106,122,595
136,2020-12-15,BROOKS,225,300,1,-,-,-,0,53,458,175,190,701
122,2020-12-15,BRYAN,1015,249,18,-,-,-,2,68,1187,284,313,1568
29,2020-12-15,BULLOCH,1905,832,24,-,-,-,2,144,2535,697,781,3460
124,2020-12-15,BURKE,327,581,4,-,-,-,0,32,807,161,234,1073
34,2020-12-15,BUTTS,551,276,3,-,-,-,0,13,698,222,341,1052
133,2020-12-15,CALHOUN,74,174,3,-,-,-,0,9,223,60,79,311
117,2020-12-15,CAMDEN,1161,405,18,-,-,-,0,96,1456,381,413,1965
38,2020-12-15,CANDLER,308,119,0,-,-,-,0,80,379,162,130,589
107,2020-12-15,CARROLL,2640,980,22,-,-,-,2,308,2377,1054,2013,4698
39,2020-12-15,CATOOSA,1678,62,17,-,-,-,3,61,1483,830,1046,2590
35,2020-12-15,CHARLTON,272,160,5,-,-,-,0,103,331,327,330,764
36,2020-12-15,CHATHAM,4918,4629,235,-,-,-,16,799,8694,1763,2068,11561
37,2020-12-15,CHATTAHOOCHEE,1460,266,35,-,-,-,0,132,681,350,1298,2111
43,2020-12-15,CHATTOOGA,725,94,5,-,-,-,4,89,647,498,590,1326
134,2020-12-15,CHEROKEE,7354,558,106,-,-,-,6,1675,6206,2582,2725,10606
3,2020-12-15,CLARKE,4276,1384,275,-,-,-,5,902,4945,1613,1706,7553
131,2020-12-15,CLAY,32,82,0,-,-,-,1,5,108,22,24,137
44,2020-12-15,CLAYTON,1389,6443,378,-,-,-,8,1663,6412,3262,3405,11480
41,2020-12-15,CLINCH,232,147,1,-,-,-,1,20,370,124,115,505
42,2020-12-15,COBB,13721,7625,814,-,-,-,27,6417,17574,8613,6809,30800
5,2020-12-15,COFFEE,1379,870,9,-,-,-,2,338,1914,749,757,3009
40,2020-12-15,COLQUITT,1326,456,14,-,-,-,1,770,1331,595,291,2392
11,2020-12-15,COLUMBIA,3263,1310,161,-,-,-,5,241,4180,1483,1801,6222
104,2020-12-15,COOK,445,236,1,-,-,-,0,53,664,181,146,863
46,2020-12-15,COWETA,2329,924,36,-,-,-,2,380,2850,952,1013,4243
105,2020-12-15,CRAWFORD,143,85,0,-,-,-,0,2,211,48,63,276
49,2020-12-15,CRISP,292,373,8,-,-,-,1,40,612,158,180,832
50,2020-12-15,DADE,415,8,5,-,-,-,0,16,371,174,215,602
132,2020-12-15,DAWSON,1124,9,6,-,-,-,1,72,1048,201,221,1341
48,2020-12-15,DECATUR,655,608,2,-,-,-,1,132,1073,224,285,1490
118,2020-12-15,DEKALB,7319,13854,1392,-,-,-,20,3894,18363,7556,7884,30141
