,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
20,2020-10-26 04:00:00,ALL GEORGIA,143990,96917,6124,-,-,-,232,106108,45250,199300,108821,353371
24,2020-10-26 04:00:00,APPLING,591,199,7,-,-,-,2,360,114,639,406,1159
25,2020-10-26 04:00:00,ATKINSON,229,56,0,-,-,-,0,197,147,219,116,482
23,2020-10-26 04:00:00,BACON,385,87,2,-,-,-,0,162,102,422,112,636
26,2020-10-26 04:00:00,BAKER,36,46,0,-,-,-,0,9,10,67,14,91
0,2020-10-26 04:00:00,BALDWIN,1104,648,15,-,-,-,2,537,58,1531,717,2306
27,2020-10-26 04:00:00,BANKS,433,17,6,-,-,-,1,99,39,402,115,556
28,2020-10-26 04:00:00,BARROW,1532,315,68,-,-,-,1,686,330,1575,697,2602
32,2020-10-26 04:00:00,BARTOW,1947,351,35,-,-,-,3,1278,468,1663,1483,3614
29,2020-10-26 04:00:00,BEN HILL,377,242,4,-,-,-,0,248,41,577,253,871
107,2020-10-26 04:00:00,BERRIEN,334,65,0,-,-,-,2,90,29,389,73,491
1,2020-10-26 04:00:00,BIBB,1609,3525,55,-,-,-,2,1413,158,4744,1702,6604
30,2020-10-26 04:00:00,BLECKLEY,309,168,2,-,-,-,0,32,17,428,66,511
31,2020-10-26 04:00:00,BRANTLEY,338,21,1,-,-,-,0,95,3,353,99,455
127,2020-10-26 04:00:00,BROOKS,176,227,1,-,-,-,0,148,40,357,155,552
119,2020-10-26 04:00:00,BRYAN,781,194,12,-,-,-,2,321,43,905,362,1310
37,2020-10-26 04:00:00,BULLOCH,1650,703,19,-,-,-,0,717,128,2160,801,3089
121,2020-10-26 04:00:00,BURKE,248,481,3,-,-,-,0,154,31,638,217,886
33,2020-10-26 04:00:00,BUTTS,358,219,1,-,-,-,0,162,10,501,229,740
137,2020-10-26 04:00:00,CALHOUN,64,156,2,-,-,-,0,48,7,196,67,270
116,2020-10-26 04:00:00,CAMDEN,749,322,14,-,-,-,0,331,66,970,380,1416
34,2020-10-26 04:00:00,CANDLER,270,105,0,-,-,-,0,170,79,325,141,545
103,2020-10-26 04:00:00,CARROLL,1743,702,7,-,-,-,1,884,220,1442,1675,3337
35,2020-10-26 04:00:00,CATOOSA,886,42,7,-,-,-,2,492,45,750,634,1429
38,2020-10-26 04:00:00,CHARLTON,201,131,5,-,-,-,0,309,98,250,298,646
36,2020-10-26 04:00:00,CHATHAM,3694,3696,142,-,-,-,10,1864,597,6682,2127,9406
44,2020-10-26 04:00:00,CHATTAHOOCHEE,1200,216,29,-,-,-,0,302,99,590,1058,1747
45,2020-10-26 04:00:00,CHATTOOGA,417,72,3,-,-,-,4,444,78,379,483,940
138,2020-10-26 04:00:00,CHEROKEE,4925,382,70,-,-,-,2,1703,1258,3988,1836,7082
5,2020-10-26 04:00:00,CLARKE,3222,881,188,-,-,-,0,1438,705,3538,1486,5729
133,2020-10-26 04:00:00,CLAY,25,78,0,-,-,-,1,20,4,103,17,124
41,2020-10-26 04:00:00,CLAYTON,921,4367,208,-,-,-,4,2700,1206,4133,2861,8200
42,2020-10-26 04:00:00,CLINCH,182,128,0,-,-,-,0,138,20,294,134,448
39,2020-10-26 04:00:00,COBB,9160,5381,531,-,-,-,18,6777,4819,11285,5763,21867
2,2020-10-26 04:00:00,COFFEE,994,544,6,-,-,-,2,709,285,1262,708,2255
40,2020-10-26 04:00:00,COLQUITT,1139,410,8,-,-,-,1,565,739,1096,288,2123
7,2020-10-26 04:00:00,COLUMBIA,2105,841,102,-,-,-,2,1321,163,2664,1544,4371
102,2020-10-26 04:00:00,COOK,249,150,1,-,-,-,0,182,50,394,138,582
43,2020-10-26 04:00:00,COWETA,1432,658,20,-,-,-,1,853,294,1792,878,2964
109,2020-10-26 04:00:00,CRAWFORD,82,68,0,-,-,-,0,46,1,134,61,196
46,2020-10-26 04:00:00,CRISP,200,289,2,-,-,-,1,151,33,460,150,643
48,2020-10-26 04:00:00,DADE,231,7,5,-,-,-,0,112,15,195,145,355
132,2020-10-26 04:00:00,DAWSON,782,9,2,-,-,-,1,117,59,716,136,911
49,2020-10-26 04:00:00,DECATUR,581,505,1,-,-,-,1,204,118,912,262,1292
114,2020-10-26 04:00:00,DEKALB,4748,9485,1067,-,-,-,11,5790,3164,11774,6163,21101
112,2020-10-26 04:00:00,DODGE,352,202,2,-,-,-,0,53,8,516,85,609
50,2020-10-26 04:00:00,DOOLY,112,192,1,-,-,-,0,66,31,284,56,371
47,2020-10-26 04:00:00,DOUGHERTY,575,2377,15,-,-,-,0,327,75,2573,646,3294
129,2020-10-26 04:00:00,DOUGLAS,1268,1829,68,-,-,-,1,918,595,2593,896,4084
51,2020-10-26 04:00:00,EARLY,137,338,1,-,-,-,0,74,6,433,111,550
52,2020-10-26 04:00:00,ECHOLS,87,7,1,-,-,-,0,151,117,65,64,246
101,2020-10-26 04:00:00,EFFINGHAM,1125,327,12,-,-,-,0,352,79,1317,420,1816
21,2020-10-26 04:00:00,ELBERT,313,302,4,-,-,-,0,133,44,568,140,752
58,2020-10-26 04:00:00,EMANUEL,496,338,7,-,-,-,1,361,33,766,404,1203
56,2020-10-26 04:00:00,EVANS,201,122,1,-,-,-,0,161,69,281,135,485
135,2020-10-26 04:00:00,FANNIN,725,2,0,-,-,-,0,101,36,664,128,828
136,2020-10-26 04:00:00,FAYETTE,841,544,31,-,-,-,2,711,152,1156,821,2129
134,2020-10-26 04:00:00,FLOYD,1890,422,29,-,-,-,5,1610,578,1699,1679,3956
53,2020-10-26 04:00:00,FORSYTH,3112,164,177,-,-,-,3,1279,754,2653,1328,4735
105,2020-10-26 04:00:00,FRANKLIN,614,87,4,-,-,-,0,228,59,634,240,933
15,2020-10-26 04:00:00,FULTON,9249,12174,606,-,-,-,25,8983,3331,18509,9197,31037
54,2020-10-26 04:00:00,GILMER,876,4,6,-,-,-,0,150,217,656,163,1036
57,2020-10-26 04:00:00,GLASCOCK,33,6,0,-,-,-,0,10,0,36,13,49
55,2020-10-26 04:00:00,GLYNN,2005,901,30,-,-,-,0,787,533,2550,640,3723
60,2020-10-26 04:00:00,GORDON,1248,82,27,-,-,-,6,1007,530,922,918,2370
61,2020-10-26 04:00:00,GRADY,473,258,0,-,-,-,1,126,227,520,111,858
