date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-11-03,Adams,786.0,75.0,0.0,0.0,0.0,-,0.0,1472.0,0.0,-,-,2346.0
2020-11-03,Alexander,61.0,42.0,0.0,-,-,-,0.0,51.0,0.0,-,-,156.0
2020-11-03,Bond,215.0,10.0,0.0,0.0,-,-,14.0,324.0,0.0,-,-,566.0
2020-11-03,Boone,958.0,34.0,18.0,0.0,0.0,-,38.0,292.0,884.0,-,-,2232.0
2020-11-03,Brown,68.0,20.0,-,-,-,-,0.0,38.0,7.0,-,-,133.0
2020-11-03,Bureau,479.0,0.0,0.0,0.0,0.0,-,12.0,402.0,156.0,-,-,1055.0
2020-11-03,Calhoun,40.0,0.0,-,0.0,-,-,0.0,40.0,0.0,-,-,86.0
2020-11-03,Carroll,271.0,30.0,0.0,0.0,0.0,-,0.0,239.0,12.0,-,-,559.0
2020-11-03,Cass,251.0,24.0,0.0,0.0,0.0,-,0.0,30.0,169.0,-,-,478.0
2020-11-03,Champaign,4314.0,993.0,365.0,0.0,6.0,-,209.0,143.0,966.0,-,-,6999.0
2020-11-03,Christian,387.0,21.0,0.0,0.0,0.0,-,14.0,506.0,13.0,-,-,942.0
2020-11-03,Clark,221.0,0.0,0.0,0.0,-,-,7.0,104.0,0.0,-,-,338.0
2020-11-03,Clay,311.0,0.0,0.0,0.0,0.0,-,6.0,46.0,0.0,-,-,363.0
2020-11-03,Clinton,1031.0,39.0,0.0,0.0,0.0,-,67.0,788.0,39.0,-,-,1966.0
2020-11-03,Coles,1709.0,92.0,14.0,0.0,0.0,-,47.0,303.0,63.0,-,-,2229.0
2020-11-03,Cook,22574.0,11036.0,2703.0,179.0,211.0,-,4953.0,28886.0,20459.0,-,-,91001.0
2020-11-03,Crawford,390.0,151.0,0.0,0.0,0.0,-,13.0,97.0,36.0,-,-,689.0
2020-11-03,Cumberland,238.0,0.0,0.0,-,-,-,8.0,81.0,0.0,-,-,330.0
2020-11-03,De Witt,233.0,0.0,0.0,0.0,0.0,-,0.0,68.0,0.0,-,-,312.0
2020-11-03,DeKalb,1492.0,291.0,40.0,0.0,0.0,-,32.0,407.0,630.0,-,-,2895.0
2020-11-03,Douglas,447.0,0.0,0.0,0.0,0.0,-,29.0,188.0,181.0,-,-,853.0
2020-11-03,DuPage,10338.0,1098.0,1408.0,38.0,37.0,-,881.0,7097.0,5615.0,-,-,26512.0
2020-11-03,Edgar,148.0,0.0,0.0,0.0,0.0,-,0.0,33.0,0.0,-,-,185.0
2020-11-03,Edwards,97.0,0.0,0.0,-,-,-,0.0,21.0,0.0,-,-,119.0
2020-11-03,Effingham,564.0,0.0,0.0,0.0,0.0,-,99.0,708.0,9.0,-,-,1385.0
2020-11-03,Fayette,443.0,0.0,0.0,0.0,0.0,-,37.0,278.0,0.0,-,-,762.0
2020-11-03,Ford,169.0,0.0,0.0,0.0,0.0,-,6.0,42.0,8.0,-,-,228.0
2020-11-03,Franklin,810.0,0.0,0.0,0.0,-,-,10.0,305.0,8.0,-,-,1141.0
2020-11-03,Fulton,178.0,9.0,0.0,0.0,0.0,-,0.0,495.0,0.0,-,-,691.0
2020-11-03,Gallatin,104.0,0.0,0.0,-,-,-,0.0,16.0,0.0,-,-,122.0
2020-11-03,Greene,138.0,0.0,0.0,0.0,0.0,-,0.0,213.0,0.0,-,-,356.0
2020-11-03,Grundy,683.0,11.0,0.0,0.0,0.0,-,39.0,340.0,100.0,-,-,1175.0
2020-11-03,Hamilton,99.0,0.0,0.0,-,0.0,-,0.0,53.0,0.0,-,-,155.0
2020-11-03,Hancock,168.0,0.0,0.0,0.0,0.0,-,6.0,218.0,0.0,-,-,395.0
2020-11-03,Hardin,46.0,0.0,0.0,0.0,-,-,0.0,15.0,0.0,-,-,61.0
2020-11-03,Henderson,99.0,-,-,0.0,-,-,0.0,46.0,0.0,-,-,145.0
2020-11-03,Henry,313.0,15.0,0.0,0.0,0.0,-,13.0,539.0,32.0,-,-,914.0
2020-11-03,Iroquois,458.0,10.0,0.0,0.0,0.0,-,12.0,82.0,61.0,-,-,625.0
2020-11-03,Jackson,999.0,283.0,8.0,0.0,0.0,-,27.0,229.0,149.0,-,-,1698.0
2020-11-03,Jasper,228.0,0.0,0.0,-,-,-,0.0,67.0,0.0,-,-,301.0
2020-11-03,Jefferson,614.0,30.0,0.0,0.0,0.0,-,23.0,338.0,26.0,-,-,1036.0
2020-11-03,Jersey,278.0,7.0,0.0,0.0,0.0,-,18.0,213.0,0.0,-,-,517.0
2020-11-03,Jo Daviess,337.0,0.0,0.0,0.0,0.0,-,0.0,252.0,12.0,-,-,604.0
2020-11-03,Johnson,273.0,36.0,0.0,-,0.0,-,0.0,78.0,28.0,-,-,417.0
2020-11-03,Kane,5339.0,672.0,362.0,13.0,15.0,-,409.0,5396.0,7131.0,-,-,19337.0
2020-11-03,Kankakee,1867.0,598.0,16.0,0.0,0.0,-,105.0,787.0,622.0,-,-,3997.0
2020-11-03,Kendall,1262.0,248.0,58.0,0.0,0.0,-,78.0,681.0,895.0,-,-,3228.0
2020-11-03,Knox,693.0,118.0,0.0,0.0,0.0,-,22.0,627.0,46.0,-,-,1509.0
2020-11-03,LaSalle,1856.0,48.0,0.0,0.0,0.0,-,132.0,621.0,275.0,-,-,2937.0
2020-11-03,Lake,7175.0,1646.0,551.0,45.0,70.0,-,988.0,3755.0,8947.0,-,-,23177.0
2020-11-03,Lawrence,277.0,6.0,0.0,-,-,-,0.0,98.0,0.0,-,-,385.0
2020-11-03,Lee,591.0,38.0,0.0,0.0,0.0,-,25.0,297.0,19.0,-,-,973.0
2020-11-03,Livingston,498.0,29.0,0.0,0.0,0.0,-,16.0,221.0,37.0,-,-,803.0
2020-11-03,Logan,528.0,81.0,0.0,0.0,0.0,-,0.0,71.0,19.0,-,-,705.0
2020-11-03,Macon,1935.0,813.0,15.0,0.0,0.0,-,59.0,982.0,53.0,-,-,3861.0
2020-11-03,Macoupin,592.0,10.0,0.0,0.0,0.0,-,23.0,262.0,0.0,-,-,893.0
2020-11-03,Madison,3834.0,742.0,32.0,7.0,0.0,-,582.0,2526.0,253.0,-,-,7980.0
2020-11-03,Marion,1000.0,32.0,0.0,0.0,0.0,-,15.0,176.0,13.0,-,-,1238.0
2020-11-03,Marshall,86.0,0.0,0.0,-,-,-,0.0,88.0,0.0,-,-,181.0
2020-11-03,Mason,206.0,0.0,0.0,0.0,-,-,0.0,160.0,0.0,-,-,372.0
2020-11-03,Massac,113.0,9.0,0.0,0.0,-,-,0.0,57.0,0.0,-,-,181.0
2020-11-03,McDonough,604.0,88.0,16.0,0.0,0.0,-,8.0,90.0,51.0,-,-,858.0
2020-11-03,McHenry,4039.0,93.0,139.0,11.0,13.0,-,162.0,1466.0,1693.0,-,-,7616.0
2020-11-03,McLean,1776.0,323.0,39.0,0.0,0.0,-,48.0,2145.0,235.0,-,-,4570.0
2020-11-03,Menard,115.0,0.0,0.0,0.0,0.0,-,0.0,78.0,0.0,-,-,196.0
2020-11-03,Mercer,165.0,0.0,0.0,-,0.0,-,0.0,185.0,7.0,-,-,362.0
2020-11-03,Monroe,578.0,0.0,0.0,-,0.0,-,7.0,494.0,13.0,-,-,1096.0
2020-11-03,Montgomery,323.0,17.0,0.0,0.0,0.0,-,6.0,355.0,0.0,-,-,706.0
2020-11-03,Morgan,420.0,212.0,0.0,0.0,0.0,-,7.0,412.0,44.0,-,-,1099.0
2020-11-03,Moultrie,384.0,8.0,0.0,0.0,0.0,-,7.0,120.0,7.0,-,-,526.0
2020-11-03,Ogle,652.0,7.0,0.0,0.0,0.0,-,24.0,626.0,209.0,-,-,1523.0
2020-11-03,Peoria,2817.0,950.0,62.0,0.0,0.0,-,175.0,783.0,422.0,-,-,5217.0
2020-11-03,Perry,407.0,9.0,0.0,0.0,0.0,-,0.0,97.0,14.0,-,-,534.0
2020-11-03,Piatt,250.0,0.0,0.0,0.0,0.0,-,6.0,38.0,0.0,-,-,302.0
2020-11-03,Pike,283.0,0.0,0.0,0.0,0.0,-,0.0,181.0,0.0,-,-,470.0
2020-11-03,Pope,34.0,0.0,-,-,-,-,0.0,11.0,0.0,-,-,47.0
2020-11-03,Pulaski,79.0,38.0,0.0,-,-,-,0.0,64.0,73.0,-,-,255.0
2020-11-03,Putnam,68.0,0.0,0.0,-,0.0,-,0.0,41.0,0.0,-,-,115.0
2020-11-03,Randolph,766.0,114.0,0.0,0.0,0.0,-,6.0,441.0,116.0,-,-,1445.0
2020-11-03,Richland,324.0,0.0,0.0,-,0.0,-,0.0,24.0,0.0,-,-,360.0
2020-11-03,Rock Island,1320.0,442.0,79.0,0.0,0.0,-,85.0,2250.0,504.0,-,-,4684.0
2020-11-03,Saline,441.0,29.0,0.0,0.0,0.0,-,0.0,192.0,0.0,-,-,673.0
2020-11-03,Sangamon,2333.0,708.0,40.0,0.0,15.0,-,41.0,1673.0,72.0,-,-,4883.0
2020-11-03,Schuyler,79.0,8.0,-,-,-,-,0.0,17.0,0.0,-,-,106.0
2020-11-03,Scott,36.0,0.0,0.0,-,-,-,0.0,84.0,0.0,-,-,121.0
2020-11-03,Shelby,672.0,0.0,0.0,0.0,0.0,-,6.0,92.0,9.0,-,-,784.0
2020-11-03,St. Clair,1995.0,2521.0,25.0,0.0,10.0,-,268.0,3372.0,357.0,-,-,8552.0
2020-11-03,Stark,35.0,0.0,0.0,-,-,-,0.0,62.0,0.0,-,-,99.0
2020-11-03,Stephenson,838.0,68.0,6.0,0.0,0.0,-,9.0,339.0,82.0,-,-,1346.0
2020-11-03,Tazewell,1359.0,27.0,9.0,0.0,0.0,-,32.0,1692.0,24.0,-,-,3144.0
2020-11-03,Union,602.0,38.0,0.0,-,0.0,-,0.0,132.0,60.0,-,-,835.0
