date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-10-26,Adams,705.0,71.0,0.0,0.0,0.0,-,0.0,1100.0,0.0,-,-,1888.0
2020-10-26,Alexander,53.0,32.0,0.0,-,-,-,0.0,37.0,0.0,-,-,124.0
2020-10-26,Bond,194.0,10.0,0.0,0.0,-,-,14.0,286.0,0.0,-,-,507.0
2020-10-26,Boone,746.0,32.0,16.0,0.0,0.0,-,38.0,293.0,744.0,-,-,1878.0
2020-10-26,Brown,59.0,16.0,-,-,-,-,0.0,29.0,7.0,-,-,111.0
2020-10-26,Bureau,433.0,0.0,0.0,-,0.0,-,10.0,311.0,152.0,-,-,913.0
2020-10-26,Calhoun,20.0,0.0,-,0.0,-,-,0.0,40.0,0.0,-,-,66.0
2020-10-26,Carroll,200.0,30.0,0.0,0.0,0.0,-,0.0,170.0,12.0,-,-,419.0
2020-10-26,Cass,246.0,23.0,0.0,0.0,0.0,-,0.0,26.0,164.0,-,-,463.0
2020-10-26,Champaign,3769.0,899.0,333.0,0.0,0.0,-,183.0,93.0,890.0,-,-,6172.0
2020-10-26,Christian,344.0,14.0,0.0,0.0,0.0,-,14.0,445.0,7.0,-,-,825.0
2020-10-26,Clark,188.0,0.0,0.0,0.0,-,-,7.0,110.0,0.0,-,-,310.0
2020-10-26,Clay,267.0,0.0,0.0,0.0,0.0,-,6.0,41.0,0.0,-,-,314.0
2020-10-26,Clinton,921.0,38.0,0.0,0.0,0.0,-,63.0,733.0,32.0,-,-,1789.0
2020-10-26,Coles,1450.0,88.0,14.0,0.0,0.0,-,41.0,283.0,58.0,-,-,1935.0
2020-10-26,Cook,19708.0,10186.0,2412.0,159.0,207.0,-,4414.0,25503.0,18487.0,-,-,81076.0
2020-10-26,Crawford,361.0,148.0,0.0,0.0,0.0,-,12.0,92.0,36.0,-,-,651.0
2020-10-26,Cumberland,215.0,0.0,0.0,-,-,-,7.0,69.0,0.0,-,-,294.0
2020-10-26,De Witt,208.0,0.0,0.0,0.0,0.0,-,0.0,48.0,0.0,-,-,264.0
2020-10-26,DeKalb,1249.0,258.0,37.0,0.0,0.0,-,27.0,249.0,576.0,-,-,2399.0
2020-10-26,Douglas,343.0,0.0,0.0,0.0,0.0,-,25.0,146.0,165.0,-,-,684.0
2020-10-26,DuPage,9046.0,995.0,1242.0,36.0,37.0,-,767.0,5916.0,5060.0,-,-,23099.0
2020-10-26,Edgar,123.0,0.0,0.0,0.0,0.0,-,0.0,30.0,0.0,-,-,157.0
2020-10-26,Edwards,91.0,0.0,0.0,-,-,-,0.0,17.0,0.0,-,-,109.0
2020-10-26,Effingham,494.0,0.0,0.0,0.0,0.0,-,98.0,577.0,9.0,-,-,1183.0
2020-10-26,Fayette,423.0,0.0,0.0,0.0,0.0,-,35.0,224.0,0.0,-,-,685.0
