county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,534.0,7.0,1.0,-,-,-,33.0,58.0,40,443,150,633.0
Allen,4779.0,1029.0,315.0,-,-,-,1649.0,1351.0,815,5069,3239,9123.0
Bartholomew,989.0,30.0,28.0,-,-,-,286.0,199.0,151,498,883,1532.0
Benton,78.0,0.0,0.0,-,-,-,13.0,25.0,45,56,15,116.0
Blackford,224.0,0.0,0.0,-,-,-,7.0,24.0,10,183,62,255.0
Boone,893.0,27.0,17.0,-,-,-,193.0,218.0,20,504,824,1348.0
Brown,129.0,0.0,2.0,-,-,-,9.0,12.0,1,95,56,152.0
Carroll,223.0,3.0,0.0,-,-,-,106.0,32.0,34,179,151,364.0
Cass,1060.0,105.0,117.0,-,-,-,648.0,414.0,970,687,687,2344.0
Clark,2241.0,248.0,23.0,-,-,-,254.0,422.0,277,1581,1330,3188.0
Clay,405.0,1.0,0.0,-,-,-,7.0,79.0,1,226,265,492.0
Clinton,702.0,2.0,1.0,-,-,-,217.0,56.0,293,526,159,978.0
Crawford,157.0,0.0,0.0,-,-,-,5.0,7.0,2,107,60,169.0
Daviess,649.0,11.0,2.0,-,-,-,89.0,209.0,21,242,697,960.0
Dearborn,833.0,7.0,5.0,-,-,-,25.0,227.0,7,601,489,1097.0
Decatur,479.0,2.0,1.0,-,-,-,28.0,52.0,7,359,196,562.0
Dekalb,700.0,4.0,5.0,-,-,-,65.0,50.0,22,640,162,824.0
Delaware,2373.0,234.0,10.0,-,-,-,154.0,492.0,38,1922,1303,3263.0
Dubois,1166.0,19.0,1.0,-,-,-,234.0,137.0,281,1001,275,1557.0
Elkhart,4607.0,425.0,62.0,-,-,-,1750.0,2939.0,1874,2499,5410,9783.0
Fayette,694.0,15.0,0.0,-,-,-,19.0,121.0,4,514,331,849.0
Floyd,1469.0,124.0,12.0,-,-,-,122.0,206.0,60,960,913,1933.0
Fountain,279.0,2.0,0.0,-,-,-,25.0,58.0,5,187,172,364.0
Franklin,303.0,0.0,0.0,-,-,-,10.0,83.0,2,237,157,396.0
Fulton,319.0,2.0,1.0,-,-,-,36.0,57.0,35,232,148,415.0
Gibson,719.0,11.0,1.0,-,-,-,98.0,153.0,11,207,764,982.0
Grant,1097.0,65.0,7.0,-,-,-,100.0,143.0,58,904,450,1412.0
Greene,528.0,1.0,0.0,-,-,-,15.0,64.0,12,385,211,608.0
Hamilton,4276.0,255.0,145.0,-,-,-,476.0,1545.0,188,2645,3864,6697.0
Hancock,925.0,38.0,5.0,-,-,-,128.0,206.0,26,518,758,1302.0
Harrison,750.0,2.0,4.0,-,-,-,21.0,58.0,24,563,248,835.0
Hendricks,2296.0,285.0,64.0,-,-,-,317.0,570.0,98,1711,1723,3532.0
Henry,1041.0,47.0,2.0,-,-,-,126.0,189.0,28,650,727,1405.0
Howard,1247.0,133.0,5.0,-,-,-,151.0,226.0,50,890,822,1762.0
Huntington,444.0,3.0,0.0,-,-,-,26.0,25.0,17,382,99,498.0
Jackson,832.0,6.0,6.0,-,-,-,332.0,78.0,244,599,411,1254.0
Jasper,521.0,4.0,2.0,-,-,-,107.0,105.0,35,417,287,739.0
Jay,311.0,2.0,1.0,-,-,-,27.0,40.0,21,237,123,381.0
Jefferson,347.0,5.0,4.0,-,-,-,18.0,42.0,4,264,148,416.0
Jennings,315.0,1.0,0.0,-,-,-,51.0,35.0,13,181,208,402.0
Johnson,2347.0,69.0,93.0,-,-,-,421.0,508.0,73,1797,1568,3438.0
Knox,714.0,19.0,2.0,-,-,-,37.0,120.0,23,433,436,892.0
Kosciusko,1472.0,17.0,11.0,-,-,-,226.0,469.0,184,1169,842,2195.0
Lagrange,588.0,0.0,0.0,-,-,-,76.0,187.0,32,470,349,851.0
Lake,5122.0,2487.0,66.0,-,-,-,3203.0,4196.0,2191,4350,8533,15074.0
Laporte,1564.0,309.0,7.0,-,-,-,268.0,340.0,184,1454,850,2488.0
Lawrence,869.0,2.0,4.0,-,-,-,101.0,66.0,5,721,316,1042.0
Madison,1853.0,177.0,6.0,-,-,-,249.0,418.0,96,1390,1217,2703.0
Marion,10146.0,5342.0,651.0,-,-,-,4831.0,5837.0,2345,8500,15962,26807.0
Marshall,946.0,8.0,2.0,-,-,-,230.0,363.0,205,457,887,1549.0
Martin,167.0,0.0,2.0,-,-,-,17.0,21.0,0,131,76,207.0
Miami,514.0,27.0,4.0,-,-,-,42.0,133.0,30,395,295,720.0
Monroe,2545.0,124.0,95.0,-,-,-,468.0,218.0,148,1597,1705,3450.0
Montgomery,385.0,6.0,0.0,-,-,-,178.0,97.0,62,321,283,666.0
Morgan,829.0,2.0,1.0,-,-,-,116.0,82.0,8,642,380,1030.0
Newton,179.0,3.0,0.0,-,-,-,36.0,26.0,11,151,82,244.0
Noble,864.0,5.0,13.0,-,-,-,271.0,140.0,219,803,271,1293.0
Ohio,127.0,0.0,0.0,-,-,-,1.0,17.0,1,81,63,145.0
Orange,392.0,3.0,1.0,-,-,-,24.0,16.0,1,273,162,436.0
Owen,174.0,2.0,1.0,-,-,-,14.0,34.0,3,126,96,225.0
Parke,222.0,1.0,1.0,-,-,-,5.0,43.0,5,147,120,272.0
Perry,284.0,4.0,1.0,-,-,-,49.0,83.0,1,132,288,421.0
Pike,307.0,0.0,0.0,-,-,-,20.0,43.0,0,115,255,370.0
Porter,2460.0,178.0,24.0,-,-,-,469.0,592.0,348,1918,1457,3723.0
Posey,705.0,14.0,1.0,-,-,-,58.0,27.0,10,79,716,805.0
Pulaski,162.0,2.0,1.0,-,-,-,7.0,15.0,4,120,63,187.0
Putnam,570.0,67.0,4.0,-,-,-,64.0,95.0,12,383,405,800.0
Randolph,361.0,3.0,0.0,-,-,-,23.0,52.0,18,250,171,439.0
Ripley,429.0,1.0,1.0,-,-,-,19.0,67.0,4,363,150,517.0
Rush,222.0,1.0,0.0,-,-,-,14.0,36.0,1,154,118,273.0
Scott,468.0,2.0,0.0,-,-,-,62.0,47.0,10,342,227,579.0
Shelby,675.0,7.0,2.0,-,-,-,139.0,134.0,82,441,434,957.0
Spencer,350.0,5.0,1.0,-,-,-,38.0,49.0,19,192,232,443.0
St. Joseph,4057.0,1132.0,72.0,-,-,-,1385.0,3446.0,610,2181,7301,10092.0
Starke,373.0,3.0,0.0,-,-,-,22.0,94.0,14,292,186,492.0
Steuben,468.0,7.0,1.0,-,-,-,86.0,143.0,29,298,378,705.0
Sullivan,387.0,3.0,0.0,-,-,-,5.0,86.0,0,170,311,481.0
Switzerland,76.0,0.0,0.0,-,-,-,6.0,25.0,0,44,63,107.0
Tippecanoe,2505.0,203.0,85.0,-,-,-,533.0,920.0,521,2015,1710,4246.0
Tipton,269.0,1.0,0.0,-,-,-,11.0,13.0,4,224,66,294.0
Union,82.0,0.0,,-,-,-,5.0,41.0,0,49,79,128.0
Vanderburgh,4817.0,603.0,37.0,-,-,-,478.0,470.0,50,876,5479,6405.0
Vermillion,243.0,1.0,0.0,-,-,-,0.0,47.0,1,169,121,291.0
Vigo,2032.0,171.0,29.0,-,-,-,69.0,629.0,53,1368,1509,2930.0
Wabash,394.0,6.0,1.0,-,-,-,47.0,59.0,16,339,152,507.0
Warren,89.0,0.0,0.0,-,-,-,2.0,11.0,1,74,27,102.0
Warrick,1795.0,31.0,9.0,-,-,-,155.0,131.0,9,263,1849,2121.0
Washington,340.0,2.0,0.0,-,-,-,36.0,36.0,6,218,190,414.0
Wayne,1110.0,66.0,7.0,-,-,-,117.0,269.0,53,795,721,1569.0
Wells,435.0,2.0,1.0,-,-,-,16.0,50.0,8,400,96,504.0
White,464.0,4.0,4.0,-,-,-,103.0,83.0,89,344,225,658.0
Whitley,425.0,3.0,1.0,-,-,-,47.0,45.0,15,372,134,521.0
