county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-11-09,802.0,7.0,1.0,-,-,-,43.0,89.0,45,684,213,942.0
Allen,2020-11-09,6633.0,1243.0,347.0,-,-,-,1889.0,1535.0,961,6948,3738,11647.0
Bartholomew,2020-11-09,1236.0,32.0,28.0,-,-,-,324.0,278.0,168,659,1071,1898.0
Benton,2020-11-09,112.0,1.0,0.0,-,-,-,18.0,29.0,47,90,23,160.0
Blackford,2020-11-09,291.0,0.0,0.0,-,-,-,18.0,21.0,10,245,75,330.0
Boone,2020-11-09,1099.0,29.0,22.0,-,-,-,226.0,271.0,26,634,987,1647.0
Brown,2020-11-09,173.0,0.0,2.0,-,-,-,9.0,15.0,1,133,65,199.0
Carroll,2020-11-09,315.0,3.0,0.0,-,-,-,118.0,49.0,41,264,180,485.0
Cass,2020-11-09,1230.0,107.0,117.0,-,-,-,662.0,464.0,986,804,790,2580.0
Clark,2020-11-09,2648.0,286.0,24.0,-,-,-,268.0,499.0,295,1896,1534,3725.0
Clay,2020-11-09,566.0,1.0,0.0,-,-,-,11.0,90.0,1,296,371,668.0
Clinton,2020-11-09,935.0,2.0,2.0,-,-,-,267.0,81.0,364,736,187,1287.0
Crawford,2020-11-09,184.0,0.0,0.0,-,-,-,7.0,12.0,3,123,77,203.0
Daviess,2020-11-09,726.0,15.0,2.0,-,-,-,108.0,281.0,23,258,851,1132.0
Dearborn,2020-11-09,1034.0,11.0,5.0,-,-,-,32.0,278.0,10,747,603,1360.0
Decatur,2020-11-09,693.0,4.0,1.0,-,-,-,29.0,88.0,7,559,249,815.0
Dekalb,2020-11-09,956.0,5.0,5.0,-,-,-,83.0,70.0,31,900,188,1119.0
Delaware,2020-11-09,2775.0,268.0,11.0,-,-,-,175.0,543.0,47,2260,1465,3772.0
Dubois,2020-11-09,1434.0,21.0,2.0,-,-,-,252.0,161.0,297,1247,326,1870.0
Elkhart,2020-11-09,6039.0,525.0,81.0,-,-,-,1978.0,3826.0,2240,3516,6693,12449.0
Fayette,2020-11-09,914.0,17.0,1.0,-,-,-,23.0,157.0,5,699,408,1112.0
Floyd,2020-11-09,1726.0,136.0,14.0,-,-,-,146.0,272.0,66,1142,1086,2294.0
Fountain,2020-11-09,390.0,2.0,0.0,-,-,-,29.0,64.0,7,266,212,485.0
Franklin,2020-11-09,354.0,0.0,0.0,-,-,-,11.0,97.0,2,276,184,462.0
Fulton,2020-11-09,429.0,2.0,1.0,-,-,-,42.0,59.0,35,323,175,533.0
Gibson,2020-11-09,894.0,13.0,1.0,-,-,-,123.0,197.0,11,234,983,1228.0
Grant,2020-11-09,1338.0,84.0,8.0,-,-,-,119.0,169.0,71,1121,526,1718.0
Greene,2020-11-09,610.0,1.0,0.0,-,-,-,18.0,96.0,13,448,264,725.0
Hamilton,2020-11-09,5630.0,304.0,181.0,-,-,-,576.0,1900.0,235,3838,4518,8591.0
Hancock,2020-11-09,1165.0,47.0,6.0,-,-,-,144.0,279.0,28,704,909,1641.0
Harrison,2020-11-09,890.0,2.0,5.0,-,-,-,27.0,77.0,25,687,289,1001.0
Hendricks,2020-11-09,2696.0,306.0,79.0,-,-,-,361.0,689.0,115,2034,1982,4131.0
Henry,2020-11-09,1314.0,47.0,3.0,-,-,-,136.0,278.0,33,895,850,1778.0
Howard,2020-11-09,1508.0,149.0,5.0,-,-,-,158.0,278.0,54,1093,951,2098.0
Huntington,2020-11-09,627.0,3.0,0.0,-,-,-,36.0,31.0,18,553,126,697.0
Jackson,2020-11-09,979.0,7.0,8.0,-,-,-,391.0,96.0,244,730,507,1481.0
Jasper,2020-11-09,703.0,5.0,2.0,-,-,-,154.0,132.0,40,582,374,996.0
Jay,2020-11-09,469.0,2.0,1.0,-,-,-,30.0,70.0,24,373,175,572.0
Jefferson,2020-11-09,498.0,10.0,4.0,-,-,-,23.0,70.0,7,395,203,605.0
Jennings,2020-11-09,422.0,4.0,0.0,-,-,-,71.0,50.0,15,279,253,547.0
Johnson,2020-11-09,2905.0,79.0,136.0,-,-,-,468.0,628.0,93,2335,1788,4216.0
Knox,2020-11-09,924.0,24.0,3.0,-,-,-,52.0,178.0,26,557,598,1181.0
Kosciusko,2020-11-09,2023.0,23.0,14.0,-,-,-,277.0,570.0,252,1683,972,2907.0
