county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-13,2003,13,5,-,-,-,83,162,97,1745,424,2266
Allen,2020-12-13,15375,2391,693,-,-,-,3247,2312,1786,15890,6342,24018
Bartholomew,2020-12-13,2925,67,55,-,-,-,872,635,308,1716,2530,4554
Benton,2020-12-13,503,2,0,-,-,-,54,57,65,433,118,616
Blackford,2020-12-13,652,2,0,-,-,-,62,56,14,552,206,772
Boone,2020-12-13,2444,66,53,-,-,-,458,471,63,1624,1805,3492
Brown,2020-12-13,470,1,2,-,-,-,26,34,5,401,127,533
Carroll,2020-12-13,761,5,0,-,-,-,159,115,53,627,360,1040
Cass,2020-12-13,2074,129,120,-,-,-,756,548,1068,1404,1155,3627
Clark,2020-12-13,4741,467,43,-,-,-,637,934,401,3579,2842,6822
Clay,2020-12-13,1369,1,1,-,-,-,25,200,15,879,702,1596
Clinton,2020-12-13,1958,8,4,-,-,-,484,135,648,1582,359,2589
Crawford,2020-12-13,434,1,0,-,-,-,19,21,6,282,187,475
Daviess,2020-12-13,1312,25,3,-,-,-,134,521,29,481,1485,1995
Dearborn,2020-12-13,2446,24,8,-,-,-,68,546,23,1778,1291,3092
Decatur,2020-12-13,1479,7,5,-,-,-,75,219,20,1303,462,1785
Dekalb,2020-12-13,2196,10,9,-,-,-,194,106,72,2113,330,2515
Delaware,2020-12-13,4802,438,26,-,-,-,302,887,94,4008,2353,6455
Dubois,2020-12-13,2698,26,3,-,-,-,353,299,369,2356,654,3379
Elkhart,2020-12-13,11215,859,159,-,-,-,3148,5360,3595,6664,10482,20741
Fayette,2020-12-13,1599,25,2,-,-,-,40,214,9,1205,666,1880
Floyd,2020-12-13,3197,222,30,-,-,-,309,446,107,2203,1894,4204
Fountain,2020-12-13,944,3,0,-,-,-,67,230,28,726,490,1244
Franklin,2020-12-13,776,0,0,-,-,-,15,185,3,626,347,976
Fulton,2020-12-13,968,6,3,-,-,-,63,115,61,788,306,1155
Gibson,2020-12-13,1926,36,2,-,-,-,191,411,16,483,2067,2566
Grant,2020-12-13,3093,241,16,-,-,-,253,424,166,2703,1158,4027
Greene,2020-12-13,1278,4,1,-,-,-,40,191,15,995,504,1514
Hamilton,2020-12-13,12843,663,448,-,-,-,1287,3769,693,9599,8718,19010
Hancock,2020-12-13,3134,86,20,-,-,-,254,557,64,2251,1736,4051
Harrison,2020-12-13,1839,10,9,-,-,-,45,132,41,1503,491,2035
Hendricks,2020-12-13,6155,541,151,-,-,-,819,1327,223,4876,3894,8993
Henry,2020-12-13,2750,73,6,-,-,-,199,339,53,2048,1266,3367
Howard,2020-12-13,3870,347,20,-,-,-,235,871,114,2731,2498,5343
Huntington,2020-12-13,1664,12,4,-,-,-,111,129,40,1493,387,1920
Jackson,2020-12-13,2049,16,16,-,-,-,939,159,370,1591,1218,3179
Jasper,2020-12-13,1528,9,3,-,-,-,285,228,81,1295,677,2053
Jay,2020-12-13,1151,5,1,-,-,-,48,147,35,896,421,1352
Jefferson,2020-12-13,1520,24,10,-,-,-,53,105,39,1200,473,1712
Jennings,2020-12-13,1119,10,0,-,-,-,152,114,30,844,521,1395
Johnson,2020-12-13,6782,151,291,-,-,-,845,1439,241,5726,3541,9508
Knox,2020-12-13,2051,39,8,-,-,-,93,328,37,1338,1144,2519
Kosciusko,2020-12-13,4468,48,33,-,-,-,582,803,616,3905,1413,5934
Lagrange,2020-12-13,1304,7,3,-,-,-,187,307,84,1085,639,1808
Lake,2020-12-13,12897,4792,165,-,-,-,6853,10051,4881,10984,18893,34758
Laporte,2020-12-13,3829,574,10,-,-,-,936,778,458,3541,2128,6127
Lawrence,2020-12-13,2207,5,9,-,-,-,175,133,19,1923,587,2529
Madison,2020-12-13,5187,377,25,-,-,-,475,1100,270,4136,2758,7164
Marion,2020-12-13,25210,10135,1912,-,-,-,8689,12145,4321,22345,31425,58091
Marshall,2020-12-13,2634,26,20,-,-,-,563,730,451,1681,1841,3973
Martin,2020-12-13,379,0,2,-,-,-,28,75,3,284,197,484
Miami,2020-12-13,1751,62,10,-,-,-,101,349,61,1459,753,2273
