health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,1802.0,1800.0,324.0,8.0,-,58.0,216.0,512.0,3978.0,-,-,4349.0
Alleghany,3352.0,420.0,74.0,,-,40.0,54.0,1678.0,388.0,-,-,3008.0
Arlington,2910.0,940.0,474.0,10.0,-,106.0,228.0,960.0,3900.0,-,-,4764.0
Central Shenandoah,8360.0,570.0,186.0,8.0,-,116.0,196.0,2210.0,2520.0,-,-,7083.0
Central Virginia,4300.0,976.0,70.0,18.0,-,50.0,64.0,4546.0,210.0,-,-,5117.0
Chesapeake,3642.0,3926.0,194.0,24.0,-,126.0,116.0,1240.0,808.0,-,-,5038.0
Chesterfield,4704.0,3158.0,238.0,18.0,-,116.0,362.0,3088.0,4202.0,-,-,7943.0
Chickahominy,2608.0,868.0,40.0,16.0,-,18.0,52.0,1110.0,222.0,-,-,2467.0
Crater,2260.0,5038.0,60.0,14.0,-,26.0,134.0,2260.0,492.0,-,-,5142.0
Cumberland Plateau,2582.0,116.0,,,-,20.0,12.0,262.0,30.0,-,-,1515.0
Eastern Shore,600.0,1748.0,,,-,2.0,26.0,158.0,550.0,-,-,1547.0
Fairfax,10464.0,4002.0,4344.0,74.0,-,290.0,1926.0,5418.0,22432.0,-,-,24475.0
Hampton,732.0,2004.0,38.0,6.0,-,38.0,142.0,1256.0,182.0,-,-,2199.0
Henrico,3792.0,4102.0,522.0,24.0,-,194.0,424.0,2026.0,1968.0,-,-,6526.0
Lenowisco,2922.0,104.0,,,-,42.0,24.0,438.0,74.0,-,-,1804.0
Lord Fairfax,4834.0,342.0,40.0,6.0,-,52.0,180.0,954.0,1774.0,-,-,4091.0
Loudoun,4112.0,748.0,1090.0,12.0,-,136.0,568.0,4050.0,5380.0,-,-,8048.0
Mount Rogers,6548.0,182.0,14.0,,-,26.0,32.0,502.0,634.0,-,-,3969.0
New River,5642.0,552.0,246.0,10.0,-,190.0,40.0,2092.0,506.0,-,-,4639.0
Norfolk,2222.0,5220.0,154.0,18.0,-,120.0,204.0,2216.0,834.0,-,-,5494.0
Peninsula,2736.0,2828.0,136.0,14.0,-,132.0,368.0,3358.0,900.0,-,-,5236.0
Piedmont,1714.0,1430.0,24.0,10.0,-,18.0,30.0,1758.0,158.0,-,-,2571.0
Pittsylvania-Danville,1722.0,1714.0,8.0,,-,14.0,12.0,1590.0,190.0,-,-,2626.0
Portsmouth,874.0,3528.0,42.0,8.0,-,46.0,128.0,908.0,196.0,-,-,2865.0
Prince William,4506.0,3578.0,1390.0,60.0,-,266.0,1244.0,8866.0,14628.0,-,-,17269.0
Rappahannock,3766.0,2102.0,212.0,12.0,-,108.0,316.0,3098.0,2986.0,-,-,6300.0
Rappahannock Rapidan,2256.0,640.0,36.0,4.0,-,84.0,80.0,1450.0,1780.0,-,-,3165.0
Richmond,2096.0,3774.0,130.0,6.0,-,98.0,362.0,1550.0,2896.0,-,-,5456.0
Roanoke,1576.0,1246.0,90.0,,-,34.0,66.0,1904.0,984.0,-,-,2951.0
Southside,972.0,1250.0,6.0,,-,114.0,32.0,1370.0,18.0,-,-,1881.0
Thomas Jefferson,4734.0,1236.0,268.0,10.0,-,198.0,358.0,734.0,1514.0,-,-,4526.0
Three Rivers,1920.0,1588.0,,,-,26.0,54.0,588.0,392.0,-,-,2295.0
Virginia Beach,6084.0,3898.0,660.0,26.0,-,184.0,272.0,4112.0,1132.0,-,-,8184.0
West Piedmont,3018.0,1190.0,26.0,4.0,-,26.0,22.0,1466.0,600.0,-,-,3176.0
Western Tidewater,2534.0,4176.0,44.0,6.0,-,182.0,202.0,2086.0,116.0,-,-,4673.0
