health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,1419.0,1233.0,247.0,5.0,-,71.0,170.0,562.0,2608.0,-,-,6315.0
Alleghany,3891.0,373.0,85.0,,-,44.0,70.0,1955.0,273.0,-,-,6696.0
Arlington,2236.0,641.0,374.0,7.0,-,91.0,239.0,1373.0,2564.0,-,-,7525.0
Central Shenandoah,7684.0,631.0,131.0,7.0,-,104.0,176.0,2391.0,1564.0,-,-,12688.0
Central Virginia,4203.0,1005.0,62.0,16.0,-,47.0,77.0,3520.0,164.0,-,-,9094.0
Chesapeake,3106.0,2705.0,153.0,17.0,-,94.0,99.0,1010.0,535.0,-,-,7719.0
Chesterfield,4288.0,2413.0,225.0,12.0,-,104.0,293.0,2125.0,2693.0,-,-,12153.0
Chickahominy,2358.0,656.0,29.0,16.0,-,29.0,54.0,874.0,168.0,-,-,4184.0
Crater,1664.0,3052.0,47.0,7.0,-,23.0,98.0,1308.0,309.0,-,-,6508.0
Cumberland Plateau,3152.0,107.0,,,-,5.0,8.0,583.0,32.0,-,-,3895.0
Eastern Shore,515.0,977.0,,,-,1.0,16.0,79.0,310.0,-,-,1905.0
Fairfax,8937.0,2971.0,3665.0,58.0,-,345.0,1721.0,5233.0,14849.0,-,-,37779.0
Hampton,760.0,1569.0,32.0,4.0,-,52.0,121.0,799.0,148.0,-,-,3485.0
Henrico,3080.0,3035.0,465.0,21.0,-,146.0,312.0,1907.0,1203.0,-,-,10169.0
Lenowisco,3149.0,91.0,,,-,38.0,12.0,479.0,64.0,-,-,3848.0
Lord Fairfax,5320.0,315.0,62.0,6.0,-,65.0,186.0,1125.0,1211.0,-,-,8290.0
Loudoun,3299.0,527.0,891.0,10.0,-,140.0,824.0,3026.0,3312.0,-,-,12029.0
Mount Rogers,6777.0,198.0,17.0,,-,51.0,35.0,927.0,414.0,-,-,8423.0
New River,4771.0,358.0,174.0,7.0,-,123.0,32.0,2053.0,295.0,-,-,7813.0
Norfolk,1770.0,3253.0,114.0,14.0,-,96.0,147.0,1539.0,570.0,-,-,7503.0
Peninsula,2455.0,2134.0,113.0,8.0,-,128.0,319.0,2071.0,609.0,-,-,7837.0
Piedmont,1396.0,1033.0,15.0,7.0,-,67.0,23.0,1300.0,93.0,-,-,3934.0
Pittsylvania-Danville,1516.0,1312.0,7.0,,-,13.0,6.0,1175.0,131.0,-,-,4166.0
Portsmouth,679.0,2135.0,26.0,4.0,-,33.0,86.0,557.0,122.0,-,-,3642.0
Prince William,3815.0,2623.0,1138.0,42.0,-,267.0,1246.0,6097.0,9631.0,-,-,24859.0
Rappahannock,3309.0,1516.0,192.0,10.0,-,107.0,339.0,2733.0,1972.0,-,-,10178.0
Rappahannock Rapidan,2441.0,593.0,31.0,6.0,-,63.0,67.0,1216.0,1146.0,-,-,5563.0
Richmond,1711.0,2776.0,106.0,6.0,-,91.0,220.0,1246.0,1623.0,-,-,7779.0
Roanoke,1479.0,983.0,88.0,,-,33.0,59.0,1385.0,630.0,-,-,4659.0
Southside,764.0,832.0,5.0,,-,138.0,20.0,807.0,18.0,-,-,2584.0
Thomas Jefferson,3366.0,863.0,187.0,7.0,-,132.0,230.0,566.0,1009.0,-,-,6360.0
Three Rivers,1731.0,1114.0,,,-,29.0,44.0,412.0,246.0,-,-,3595.0
Virginia Beach,5345.0,2753.0,546.0,18.0,-,172.0,238.0,3312.0,933.0,-,-,13317.0
West Piedmont,2943.0,972.0,24.0,4.0,-,28.0,29.0,1212.0,426.0,-,-,5638.0
Western Tidewater,1855.0,2621.0,26.0,5.0,-,85.0,123.0,1383.0,79.0,-,-,6177.0
