health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,844,872,157,4,-,28,95,267,1933,-,-,4200.0
Alleghany,1374,177,30,,-,20,17,712,180,-,-,2514.0
Arlington,1380,459,226,5,-,49,108,419,1862,-,-,4508.0
Central Shenandoah,3916,278,86,3,-,50,95,1007,1228,-,-,6663.0
Central Virginia,1867,450,32,7,-,20,31,2093,96,-,-,4596.0
Chesapeake,1707,1913,93,12,-,60,56,613,379,-,-,4833.0
Chesterfield,2190,1498,114,8,-,54,166,1490,2018,-,-,7538.0
Chickahominy,1205,410,18,6,-,7,24,518,107,-,-,2295.0
Crater,1072,2425,27,6,-,13,63,1104,233,-,-,4943.0
Cumberland Plateau,1114,51,,,-,10,4,119,14,-,-,1316.0
Eastern Shore,290,865,,,-,1,13,80,270,-,-,1523.0
Fairfax,4918,1912,2078,36,-,138,918,2624,10839,-,-,23463.0
Hampton,331,957,18,4,-,19,65,617,79,-,-,2090.0
Henrico,1779,1977,244,12,-,90,200,936,937,-,-,6175.0
Lenowisco,1167,15,,,-,13,10,166,21,-,-,1393.0
Lord Fairfax,2232,160,20,3,-,26,87,444,861,-,-,3833.0
Loudoun,1952,356,525,6,-,62,262,1956,2611,-,-,7730.0
Mount Rogers,2967,83,7,,-,11,14,211,309,-,-,3602.0
New River,2539,266,118,5,-,68,18,988,244,-,-,4246.0
Norfolk,1056,2574,73,9,-,59,98,1047,390,-,-,5306.0
Peninsula,1283,1346,64,7,-,60,182,1650,428,-,-,5020.0
Piedmont,782,667,10,5,-,8,16,875,76,-,-,2439.0
Pittsylvania-Danville,764,770,4,,-,8,4,790,82,-,-,2422.0
Portsmouth,407,1701,21,4,-,22,63,489,91,-,-,2798.0
Prince William,2090,1687,668,30,-,119,570,4394,7057,-,-,16615.0
Rappahannock,1770,997,100,6,-,48,145,1470,1441,-,-,5977.0
Rappahannock Rapidan,1028,297,16,2,-,40,39,704,876,-,-,3002.0
Richmond,988,1816,59,3,-,48,177,733,1411,-,-,5235.0
Roanoke,673,569,41,,-,16,30,841,453,-,-,2624.0
Southside,435,585,2,,-,38,15,685,9,-,-,1769.0
Thomas Jefferson,2243,594,109,4,-,89,180,377,744,-,-,4340.0
Three Rivers,914,777,,,-,13,24,281,195,-,-,2215.0
Virginia Beach,2877,1876,315,13,-,81,127,1945,524,-,-,7758.0
West Piedmont,1339,559,13,2,-,8,12,632,287,-,-,2852.0
Western Tidewater,1203,2016,21,2,-,89,96,1057,55,-,-,4539.0
