date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-11-01,Adams,522,-,-,-,-,-,20,33,48,460,79,587
2020-11-01,Ashland,190,-,-,47,-,-,-,57,-,207,92,301
2020-11-01,Barron,932,116,5,5,-,-,126,136,162,1001,157,1320
2020-11-01,Bayfield,160,-,-,42,-,-,10,67,-,194,84,280
2020-11-01,Brown,11770,649,410,650,-,-,1447,1284,2940,11224,2046,16210
2020-11-01,Buffalo,323,5,-,-,-,-,7,-,14,319,5,338
2020-11-01,Burnett,268,-,-,21,-,-,6,29,-,290,34,328
2020-11-01,Calumet,2390,30,34,10,-,-,108,285,187,2189,481,2857
2020-11-01,Chippewa,1642,28,16,6,-,-,18,248,20,1648,290,1958
2020-11-01,Clark,642,-,-,-,-,-,17,360,168,562,291,1021
2020-11-01,Columbia,1638,59,9,18,-,-,125,96,146,1419,380,1945
2020-11-01,Crawford,362,-,-,-,-,-,-,19,-,361,26,389
2020-11-01,Dane,11921,1132,554,112,-,-,1958,334,2145,12722,1144,16011
2020-11-01,Dodge,3237,358,39,42,-,-,402,668,534,2814,1398,4746
2020-11-01,Door,821,6,8,-,-,-,24,93,63,777,113,953
2020-11-01,Douglas,639,21,-,9,-,-,13,157,20,619,204,843
2020-11-01,Dunn,978,12,34,-,-,-,36,129,24,991,178,1193
2020-11-01,Eau Claire,3414,69,127,15,-,-,118,217,119,3541,300,3960
2020-11-01,Florence,164,-,-,-,-,-,-,54,-,151,72,223
2020-11-01,Fond du Lac,4288,108,42,7,-,-,156,510,483,3736,892,5111
2020-11-01,Forest,380,-,-,100,-,-,-,21,-,462,41,505
2020-11-01,Grant,1690,8,9,-,-,-,59,275,81,1617,345,2043
2020-11-01,Green,993,5,-,-,-,-,31,23,76,928,54,1058
2020-11-01,Green Lake,724,-,-,-,-,-,31,53,86,622,107,815
2020-11-01,Iowa,535,-,-,-,-,-,11,17,18,522,29,569
2020-11-01,Iron,171,-,-,-,-,-,-,38,7,141,68,216
2020-11-01,Jackson,477,36,5,60,-,-,9,15,28,541,33,602
2020-11-01,Jefferson,2373,38,19,37,-,-,277,272,531,2101,384,3016
2020-11-01,Juneau,575,55,-,23,-,-,21,175,24,596,232,852
2020-11-01,Kenosha,3951,466,73,11,-,-,447,622,1099,3195,1276,5570
2020-11-01,Kewaunee,1006,-,-,-,-,-,40,120,65,916,195,1176
2020-11-01,La Crosse,3531,90,197,9,-,-,114,667,70,3543,995,4608
2020-11-01,Lafayette,478,-,-,-,-,-,69,48,124,424,52,600
2020-11-01,Langlade,960,6,-,8,-,-,18,89,20,542,519,1081
2020-11-01,Lincoln,793,-,5,-,-,-,18,146,15,644,306,965
2020-11-01,Manitowoc,2571,26,43,10,-,-,54,354,218,2345,495,3058
2020-11-01,Marathon,4470,60,306,17,-,-,112,476,221,2995,2225,5441
2020-11-01,Marinette,1702,11,9,7,-,-,65,121,42,1688,185,1915
2020-11-01,Marquette,657,-,-,-,-,-,24,20,59,524,122,705
2020-11-01,Menominee,17,-,-,311,-,-,9,6,-,321,19,344
2020-11-01,Milwaukee,22520,10116,1600,300,-,-,5094,3852,11686,25351,6445,43482
2020-11-01,Monroe,1123,11,11,22,-,-,64,36,143,1061,63,1267
2020-11-01,Oconto,2069,-,-,30,-,-,36,131,98,1964,208,2270
2020-11-01,Oneida,1014,-,-,15,-,-,22,316,18,924,431,1373
2020-11-01,Outagamie,7551,110,190,249,-,-,464,1300,603,7372,1889,9864
2020-11-01,Ozaukee,2211,55,43,10,-,-,68,142,111,2154,264,2529
2020-11-01,Pepin,153,-,-,-,-,-,7,10,10,150,12,172
2020-11-01,Pierce,752,17,-,-,-,-,5,40,39,724,56,819
2020-11-01,Polk,604,-,-,-,-,-,7,46,8,589,67,664
2020-11-01,Portage,2554,36,158,6,-,-,91,161,180,2453,373,3006
2020-11-01,Price,194,-,-,-,-,-,-,211,-,172,238,411
2020-11-01,Racine,5925,1492,55,27,-,-,525,154,1823,5975,380,8178
2020-11-01,Richland,338,-,5,-,-,-,20,135,37,308,155,500
2020-11-01,Rock,4316,333,77,23,-,-,532,421,938,4063,701,5702
2020-11-01,Rusk,133,-,-,-,-,-,-,114,7,143,101,251
2020-11-01,Sauk,1634,22,14,39,-,-,186,72,270,1568,129,1967
2020-11-01,Sawyer,280,-,-,67,-,-,17,50,5,330,84,419
2020-11-01,Shawano,1822,5,7,283,-,-,88,478,104,1844,735,2683
2020-11-01,Sheboygan,3765,460,180,37,-,-,197,651,588,3646,1056,5290
2020-11-01,St. Croix,1779,15,13,-,-,-,34,261,88,1703,312,2103
2020-11-01,Taylor,535,-,-,-,-,-,6,12,49,494,12,555
2020-11-01,Trempealeau,925,10,7,-,-,-,95,104,268,753,123,1144
2020-11-01,Vernon,506,-,-,-,-,-,6,26,10,488,45,543
2020-11-01,Vilas,465,-,-,54,-,-,10,123,10,473,173,656
2020-11-01,Walworth,2899,60,14,17,-,-,251,349,675,2455,460,3590
2020-11-01,Washburn,259,-,-,-,-,-,-,-,5,261,-,267
2020-11-01,Washington,4525,46,37,12,-,-,125,142,193,3896,798,4887
2020-11-01,Waukesha,11115,266,224,37,-,-,544,1277,923,9430,3110,13463
2020-11-01,Waupaca,2093,12,9,14,-,-,150,338,100,1959,557,2616
2020-11-01,Waushara,924,38,7,9,-,-,69,60,174,806,127,1107
2020-11-01,Winnebago,7751,387,230,70,-,-,390,610,539,7445,1454,9438
2020-11-01,Wood,1712,9,24,24,-,-,54,110,64,1572,297,1933
