,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-01,Adams,945,5,6,7,-,-,36,66,60,825,180,1065
1,2020-12-01,Ashland,444,-,-,104,-,-,8,120,-,508,168,680
2,2020-12-01,Barron,2692,154,10,18,-,-,164,612,200,2864,586,3650
3,2020-12-01,Bayfield,445,-,-,79,-,-,17,140,7,485,193,685
4,2020-12-01,Brown,17077,840,596,925,-,-,1679,1610,3549,16372,2806,22727
5,2020-12-01,Buffalo,783,7,-,-,-,-,10,17,21,778,20,819
6,2020-12-01,Burnett,646,-,-,46,-,-,11,73,6,685,89,780
7,2020-12-01,Calumet,3426,37,55,16,-,-,149,387,248,3112,710,4070
8,2020-12-01,Chippewa,3865,188,48,41,-,-,48,604,83,3964,747,4794
9,2020-12-01,Clark,1237,-,-,-,-,-,34,894,239,1297,637,2173
10,2020-12-01,Columbia,2898,185,20,43,-,-,182,170,227,2508,763,3498
11,2020-12-01,Crawford,1061,167,11,10,-,-,32,33,44,1134,136,1314
12,2020-12-01,Dane,20030,2152,1013,220,-,-,3557,628,4268,21154,2178,27600
13,2020-12-01,Dodge,5965,703,68,73,-,-,550,1049,790,5306,2312,8408
14,2020-12-01,Door,1416,9,9,-,-,-,33,130,106,1328,167,1601
15,2020-12-01,Douglas,1687,32,10,18,-,-,37,328,35,1626,451,2112
16,2020-12-01,Dunn,2415,19,67,10,-,-,64,254,47,2432,350,2829
17,2020-12-01,Eau Claire,6749,125,261,23,-,-,185,511,189,7039,626,7854
18,2020-12-01,Florence,241,-,-,-,-,-,6,78,-,216,110,327
19,2020-12-01,Fond du Lac,7251,210,97,31,-,-,250,654,659,6556,1278,8493
20,2020-12-01,Forest,531,-,-,155,-,-,11,31,5,666,60,731
21,2020-12-01,Grant,2885,19,16,-,-,-,109,468,144,2744,611,3499
22,2020-12-01,Green,1594,7,5,-,-,-,57,33,118,1479,101,1698
23,2020-12-01,Green Lake,1059,6,-,6,-,-,43,71,103,926,156,1185
24,2020-12-01,Iowa,1242,7,-,-,-,-,24,27,29,1211,66,1306
25,2020-12-01,Iron,287,-,-,-,-,-,5,62,8,236,116,360
26,2020-12-01,Jackson,1326,90,19,189,-,-,34,80,63,1549,126,1738
27,2020-12-01,Jefferson,4265,66,33,51,-,-,445,543,778,3794,831,5403
28,2020-12-01,Juneau,1273,172,14,51,-,-,55,365,75,1347,508,1930
29,2020-12-01,Kenosha,6894,692,121,25,-,-,758,1046,1563,5523,2450,9536
30,2020-12-01,Kewaunee,1489,6,-,7,-,-,42,159,75,1363,268,1706
31,2020-12-01,La Crosse,6498,137,350,17,-,-,166,958,123,6538,1465,8126
32,2020-12-01,Lafayette,930,-,-,-,-,-,84,74,151,829,114,1094
33,2020-12-01,Langlade,1363,9,-,10,-,-,26,137,38,705,802,1545
34,2020-12-01,Lincoln,1587,11,12,5,-,-,31,329,29,1345,601,1975
35,2020-12-01,Manitowoc,4072,52,80,17,-,-,87,634,303,3713,926,4942
36,2020-12-01,Marathon,8031,109,578,36,-,-,190,867,354,5557,3900,9811
37,2020-12-01,Marinette,2671,11,13,10,-,-,89,191,49,2593,343,2985
38,2020-12-01,Marquette,950,9,-,-,-,-,35,31,81,721,226,1028
39,2020-12-01,Menominee,29,-,-,514,-,-,11,8,-,531,28,563
40,2020-12-01,Milwaukee,37589,15292,2604,500,-,-,7608,5450,16554,41863,10626,69043
41,2020-12-01,Monroe,2367,27,22,43,-,-,95,95,179,2313,157,2649
42,2020-12-01,Oconto,2895,-,6,54,-,-,43,161,112,2787,262,3161
43,2020-12-01,Oneida,1742,28,7,20,-,-,39,491,22,1652,653,2327
44,2020-12-01,Outagamie,10544,176,309,365,-,-,655,1726,799,10235,2741,13775
45,2020-12-01,Ozaukee,4181,88,70,14,-,-,134,326,170,3893,750,4813
46,2020-12-01,Pepin,441,-,-,-,-,-,11,27,12,438,31,481
47,2020-12-01,Pierce,2020,20,9,-,-,-,16,111,53,1934,190,2177
48,2020-12-01,Polk,1982,5,-,24,-,-,21,181,29,1819,368,2216
49,2020-12-01,Portage,4088,44,178,12,-,-,138,252,255,3858,599,4712
50,2020-12-01,Price,330,-,7,-,-,-,6,386,-,314,416,732
51,2020-12-01,Racine,10653,2223,113,73,-,-,835,290,2733,10657,797,14187
52,2020-12-01,Richland,635,-,10,-,-,-,31,206,53,579,253,885
53,2020-12-01,Rock,7356,482,123,34,-,-,900,598,1463,6934,1096,9493
54,2020-12-01,Rusk,405,7,-,-,-,-,7,465,14,505,369,888
55,2020-12-01,Sauk,3038,32,25,73,-,-,287,158,396,2901,316,3613
56,2020-12-01,Sawyer,622,-,5,149,-,-,26,111,9,751,156,916
57,2020-12-01,Shawano,2556,5,15,397,-,-,108,626,123,2550,1034,3707
58,2020-12-01,Sheboygan,6717,508,449,50,-,-,356,1102,931,6317,1934,9182
59,2020-12-01,St. Croix,3688,25,29,6,-,-,63,577,120,3491,777,4388
60,2020-12-01,Taylor,1148,-,-,-,-,-,8,46,63,1082,60,1205
61,2020-12-01,Trempealeau,2025,19,11,7,-,-,125,225,348,1756,308,2412
62,2020-12-01,Vernon,1091,-,5,-,-,-,13,47,22,1057,81,1160
63,2020-12-01,Vilas,885,-,-,132,-,-,21,223,14,943,309,1266
64,2020-12-01,Walworth,4940,91,23,25,-,-,355,647,910,4188,983,6081
65,2020-12-01,Washburn,687,-,-,7,-,-,-,19,10,695,13,718
66,2020-12-01,Washington,8083,107,86,25,-,-,197,407,290,6377,2238,8905
67,2020-12-01,Waukesha,22242,476,416,74,-,-,1116,2349,1723,18346,6604,26673
68,2020-12-01,Waupaca,2990,15,11,22,-,-,193,470,122,2758,821,3701
69,2020-12-01,Waushara,1431,112,12,20,-,-,94,86,255,1242,258,1755
70,2020-12-01,Winnebago,10812,575,345,95,-,-,558,811,728,10315,2153,13196
71,2020-12-01,Wood,3581,25,50,40,-,-,119,441,174,3404,678,4256
