date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-10-31,Adams,514,-,-,-,-,-,20,30,48,452,76,576
2020-10-31,Ashland,190,-,-,47,-,-,-,56,-,207,91,300
2020-10-31,Barron,900,116,5,5,-,-,125,130,162,965,154,1281
2020-10-31,Bayfield,151,-,-,39,-,-,9,66,-,182,82,266
2020-10-31,Brown,11687,645,408,651,-,-,1441,1283,2932,11138,2045,16115
2020-10-31,Buffalo,316,-,-,-,-,-,7,-,14,311,5,330
2020-10-31,Burnett,267,-,-,21,-,-,6,29,-,289,34,327
2020-10-31,Calumet,2356,30,33,10,-,-,107,282,187,2155,476,2818
2020-10-31,Chippewa,1630,29,16,6,-,-,18,240,20,1638,281,1939
2020-10-31,Clark,635,-,-,-,-,-,17,344,166,553,279,998
2020-10-31,Columbia,1607,59,9,18,-,-,120,95,144,1390,374,1908
2020-10-31,Crawford,349,-,-,-,-,-,-,17,-,349,23,374
2020-10-31,Dane,11781,1124,549,110,-,-,1943,332,2123,12577,1139,15839
2020-10-31,Dodge,3191,353,38,42,-,-,389,670,523,2770,1390,4683
2020-10-31,Door,801,6,8,-,-,-,23,86,61,756,108,925
2020-10-31,Douglas,637,21,-,9,-,-,13,157,20,618,203,841
2020-10-31,Dunn,965,11,34,-,-,-,36,127,24,978,175,1177
2020-10-31,Eau Claire,3307,68,125,15,-,-,112,218,115,3434,296,3845
2020-10-31,Florence,163,-,-,-,-,-,-,53,-,150,71,221
2020-10-31,Fond du Lac,4196,103,39,5,-,-,153,498,479,3644,871,4994
2020-10-31,Forest,376,-,-,100,-,-,-,21,-,458,41,501
2020-10-31,Grant,1676,8,9,-,-,-,59,264,79,1604,335,2018
2020-10-31,Green,966,-,-,-,-,-,31,23,76,902,52,1030
2020-10-31,Green Lake,709,-,-,-,-,-,31,53,84,609,105,798
2020-10-31,Iowa,526,-,-,-,-,-,11,17,18,513,29,560
2020-10-31,Iron,167,-,-,-,-,-,-,38,7,137,68,212
2020-10-31,Jackson,469,36,5,59,-,-,8,14,27,530,34,591
2020-10-31,Jefferson,2323,37,19,37,-,-,274,261,527,2058,366,2951
2020-10-31,Juneau,566,55,-,23,-,-,21,169,23,589,225,837
2020-10-31,Kenosha,3834,455,72,11,-,-,434,572,1087,3117,1174,5378
2020-10-31,Kewaunee,991,-,-,-,-,-,40,120,65,902,193,1160
2020-10-31,La Crosse,3476,90,195,9,-,-,113,667,70,3488,992,4550
2020-10-31,Lafayette,468,-,-,-,-,-,68,48,123,416,50,589
2020-10-31,Langlade,946,6,-,8,-,-,17,88,20,533,512,1065
2020-10-31,Lincoln,766,-,5,-,-,-,18,139,15,621,295,931
2020-10-31,Manitowoc,2519,25,43,10,-,-,54,335,217,2298,471,2986
2020-10-31,Marathon,4370,58,299,17,-,-,111,467,220,2942,2160,5322
2020-10-31,Marinette,1665,11,9,7,-,-,60,118,41,1652,177,1870
2020-10-31,Marquette,623,-,-,-,-,-,22,19,55,496,117,668
2020-10-31,Menominee,17,-,-,307,-,-,9,6,-,317,19,340
2020-10-31,Milwaukee,22150,9993,1581,295,-,-,5037,3808,11568,24952,6344,42864
2020-10-31,Monroe,1095,11,11,22,-,-,64,35,143,1033,62,1238
2020-10-31,Oconto,2037,-,-,30,-,-,36,131,98,1933,207,2238
2020-10-31,Oneida,994,-,-,15,-,-,22,315,18,904,429,1351
2020-10-31,Outagamie,7471,107,186,247,-,-,453,1286,599,7290,1861,9750
2020-10-31,Ozaukee,2186,53,43,10,-,-,66,134,111,2129,252,2492
2020-10-31,Pepin,152,-,-,-,-,-,7,9,10,149,11,170
2020-10-31,Pierce,726,17,-,-,-,-,5,39,39,698,55,792
2020-10-31,Polk,580,-,-,-,-,-,7,46,8,566,66,640
2020-10-31,Portage,2524,36,157,6,-,-,92,163,176,2418,384,2978
2020-10-31,Price,194,-,-,-,-,-,-,209,-,172,235,408
2020-10-31,Racine,5869,1490,53,27,-,-,527,144,1817,5927,366,8110
2020-10-31,Richland,336,-,5,-,-,-,20,134,37,307,153,497
2020-10-31,Rock,4173,325,77,23,-,-,517,418,908,3934,691,5533
2020-10-31,Rusk,127,-,-,-,-,-,-,110,6,137,98,241
2020-10-31,Sauk,1598,22,14,39,-,-,184,70,267,1535,125,1927
2020-10-31,Sawyer,278,-,-,67,-,-,17,50,-,329,84,417
2020-10-31,Shawano,1779,5,7,279,-,-,88,471,102,1801,726,2629
2020-10-31,Sheboygan,3649,460,175,37,-,-,194,643,578,3541,1039,5158
2020-10-31,St. Croix,1745,15,13,-,-,-,33,248,86,1671,298,2055
2020-10-31,Taylor,519,-,-,-,-,-,5,11,47,480,10,537
2020-10-31,Trempealeau,906,10,7,-,-,-,95,102,266,736,121,1123
2020-10-31,Vernon,502,-,-,-,-,-,5,26,10,484,44,538
2020-10-31,Vilas,455,-,-,54,-,-,10,115,10,462,166,638
2020-10-31,Walworth,2897,60,14,17,-,-,251,350,674,2454,461,3589
2020-10-31,Washburn,255,-,-,-,-,-,-,-,5,256,-,263
2020-10-31,Washington,4460,46,35,12,-,-,122,134,190,3854,765,4809
2020-10-31,Waukesha,11026,263,221,36,-,-,540,1267,916,9347,3090,13353
2020-10-31,Waupaca,2070,12,9,14,-,-,145,336,99,1936,551,2586
2020-10-31,Waushara,911,38,7,9,-,-,67,59,170,798,123,1091
2020-10-31,Winnebago,7664,385,228,69,-,-,388,589,532,7359,1432,9323
2020-10-31,Wood,1691,9,24,24,-,-,52,117,62,1551,304,1917
