left,width,top,height,content_type,date
210,120,40,16,county_name,10/29/20 21:41
67,142,181,164,table,10/29/20 21:41
103,50,56,12,date_loc,10/29/20 21:41
211,85,40,16,county_name,10/29/20 21:45
66,147,183,166,table,10/29/20 21:45
101,51,55,11.7,date_loc,10/29/20 21:45
338,264,63,24,county_name,10/29/20 21:49
103,235,291,264,table,10/29/20 21:49
165,82,87,19.5,date_loc,10/29/20 21:49
335,271,66,26,county_name,10/29/20 21:58
101,223,296,274,table,10/29/20 21:58
162,81,91,17.5,date_loc,10/29/20 21:58
338,173,66,21,county_name,10/29/20 22:04
101.5,226,298,271,table,10/29/20 22:04
165,79,92,16,date_loc,10/29/20 22:04
336,243,62,29,county_name,10/29/20 22:08
104,229,371,269,table,10/29/20 22:08
164,89,88,22,date_loc,10/29/20 22:08
335,200,119,24,county_name,10/29/20 22:29
108,198,425,261,table,10/29/20 22:29
165,89,140,20,date_loc,10/29/20 22:29
334,117,118,28,county_name,10/29/20 22:45
104,197,424,269,table,10/29/20 22:45
163,90.5,143,17.5,date_loc,10/29/20 22:45
337,289.5,66,22.8,county_name,10/31/20 11:53
102.5,233.5,371.7,272,table,10/31/20 11:53
164.1,88.2,90.5,16.3,date_loc,10/31/20 11:53
335,218.6,61.3,28.42,county_name,10/31/20 11:58
103.5,220.53,346.72,263.4,table,10/31/20 11:58
336,87.6,90.1,17.08,date_loc,10/31/20 11:58
334.7,148.8,62.42,29.1,county_name,10/31/20 13:05
103.8,227.8,374,269,table,10/31/20 13:05
335.72,88.5,89.8,19,date_loc,10/31/20 13:05
336.66,281.11,118.21,22.45,county_name,10/31/20 13:58
106,203.5,398.4,264,table,10/31/20 13:58
329,86.6,144.14,21.11,date_loc,10/31/20 13:58
343,347,190.35,26.27,county_name,11/10/20 11:33
104.5,207.1,472,266.66,table,11/10/20 11:33
335,80,215.5,16.07,date_loc,11/10/20 11:33
344.2,347,189.5,26,county_name,11/10/20 11:48
110.2,209.9,469.4,265.9,table,11/10/20 11:48
335.2,79.7,217.9,13.7,date_loc,11/10/20 11:48
218.5,250.2,75.1,18.4,county_name,11/10/20 12:12
69.4,132,263.6,169.6,table,11/10/20 12:12
215.1,51.46,94.1,10.88,date_loc,11/10/20 12:12
