county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,545.0,7.0,1.0,-,-,-,33.0,65.0,40,454,157,651.0
Allen,4888.0,1038.0,316.0,-,-,-,1668.0,1365.0,820,5184,3271,9275.0
Bartholomew,1003.0,30.0,28.0,-,-,-,290.0,202.0,151,511,891,1553.0
Benton,81.0,0.0,0.0,-,-,-,13.0,26.0,46,57,17,120.0
Blackford,243.0,0.0,0.0,-,-,-,8.0,25.0,10,201,65,276.0
Boone,914.0,27.0,17.0,-,-,-,197.0,223.0,20,515,843,1378.0
Brown,133.0,0.0,2.0,-,-,-,9.0,12.0,1,99,56,156.0
Carroll,227.0,3.0,0.0,-,-,-,106.0,34.0,34,182,154,370.0
Cass,1084.0,105.0,117.0,-,-,-,650.0,418.0,970,709,695,2374.0
Clark,2265.0,250.0,23.0,-,-,-,254.0,432.0,277,1599,1348,3224.0
Clay,423.0,1.0,0.0,-,-,-,7.0,82.0,1,234,278,513.0
Clinton,721.0,2.0,2.0,-,-,-,224.0,59.0,304,543,161,1008.0
Crawford,162.0,0.0,0.0,-,-,-,5.0,8.0,2,111,62,175.0
Daviess,652.0,11.0,2.0,-,-,-,92.0,216.0,22,242,709,973.0
Dearborn,839.0,7.0,5.0,-,-,-,25.0,234.0,8,605,497,1110.0
Decatur,492.0,3.0,1.0,-,-,-,29.0,58.0,7,373,203,583.0
Dekalb,739.0,4.0,5.0,-,-,-,68.0,51.0,22,679,166,867.0
Delaware,2415.0,237.0,10.0,-,-,-,156.0,502.0,39,1964,1317,3320.0
Dubois,1196.0,19.0,1.0,-,-,-,235.0,137.0,282,1029,277,1588.0
Elkhart,4683.0,434.0,62.0,-,-,-,1762.0,3023.0,1898,2547,5519,9964.0
Fayette,715.0,15.0,1.0,-,-,-,19.0,125.0,4,537,334,875.0
Floyd,1486.0,125.0,12.0,-,-,-,128.0,211.0,60,974,928,1962.0
Fountain,277.0,2.0,0.0,-,-,-,25.0,58.0,5,183,174,362.0
Franklin,311.0,0.0,0.0,-,-,-,10.0,85.0,2,244,160,406.0
Fulton,329.0,2.0,1.0,-,-,-,36.0,57.0,35,240,150,425.0
Gibson,724.0,11.0,1.0,-,-,-,99.0,161.0,11,207,778,996.0
Grant,1126.0,69.0,7.0,-,-,-,104.0,147.0,60,933,460,1453.0
Greene,530.0,1.0,0.0,-,-,-,15.0,65.0,12,387,212,611.0
Hamilton,4334.0,257.0,150.0,-,-,-,482.0,1576.0,191,2702,3906,6799.0
Hancock,939.0,38.0,5.0,-,-,-,130.0,212.0,26,529,769,1324.0
Harrison,768.0,2.0,5.0,-,-,-,21.0,63.0,24,581,254,859.0
Hendricks,2340.0,285.0,65.0,-,-,-,320.0,589.0,98,1753,1748,3599.0
Henry,1073.0,47.0,2.0,-,-,-,127.0,189.0,28,679,731,1438.0
Howard,1262.0,133.0,5.0,-,-,-,151.0,233.0,50,903,831,1784.0
Huntington,457.0,3.0,0.0,-,-,-,27.0,26.0,17,394,102,513.0
Jackson,842.0,6.0,6.0,-,-,-,336.0,79.0,244,607,418,1269.0
Jasper,540.0,4.0,2.0,-,-,-,108.0,112.0,35,434,297,766.0
Jay,327.0,2.0,1.0,-,-,-,27.0,42.0,21,254,124,399.0
Jefferson,353.0,5.0,4.0,-,-,-,18.0,43.0,4,270,149,423.0
Jennings,318.0,3.0,0.0,-,-,-,52.0,36.0,13,186,210,409.0
Johnson,2387.0,70.0,95.0,-,-,-,427.0,527.0,73,1837,1596,3506.0
Knox,722.0,21.0,2.0,-,-,-,37.0,128.0,23,439,448,910.0
Kosciusko,1500.0,17.0,11.0,-,-,-,228.0,479.0,187,1192,856,2235.0
Lagrange,595.0,0.0,0.0,-,-,-,76.0,190.0,32,478,351,861.0
Lake,5237.0,2505.0,68.0,-,-,-,3214.0,4327.0,2218,4463,8670,15351.0
Laporte,1610.0,313.0,7.0,-,-,-,274.0,358.0,190,1501,871,2562.0
Lawrence,889.0,2.0,4.0,-,-,-,100.0,67.0,5,739,318,1062.0
Madison,1890.0,180.0,6.0,-,-,-,259.0,423.0,103,1425,1230,2758.0
Marion,10245.0,5367.0,671.0,-,-,-,4899.0,5925.0,2367,8594,16146,27107.0
Marshall,959.0,8.0,2.0,-,-,-,234.0,375.0,205,470,903,1578.0
Martin,168.0,0.0,2.0,-,-,-,17.0,23.0,0,131,79,210.0
Miami,525.0,27.0,4.0,-,-,-,42.0,137.0,31,403,301,735.0
Monroe,2591.0,125.0,97.0,-,-,-,474.0,228.0,150,1631,1734,3515.0
Montgomery,408.0,6.0,0.0,-,-,-,183.0,97.0,64,340,290,694.0
Morgan,853.0,2.0,1.0,-,-,-,117.0,87.0,8,665,387,1060.0
Newton,184.0,3.0,0.0,-,-,-,38.0,27.0,11,155,86,252.0
Noble,880.0,5.0,13.0,-,-,-,272.0,141.0,224,815,272,1311.0
Ohio,128.0,0.0,0.0,-,-,-,1.0,18.0,1,82,64,147.0
Orange,396.0,3.0,1.0,-,-,-,24.0,17.0,1,277,163,441.0
Owen,177.0,2.0,1.0,-,-,-,14.0,35.0,3,129,97,229.0
Parke,223.0,1.0,1.0,-,-,-,5.0,45.0,5,148,122,275.0
Perry,301.0,4.0,1.0,-,-,-,50.0,85.0,1,132,308,441.0
Pike,310.0,0.0,0.0,-,-,-,21.0,45.0,0,117,259,376.0
Porter,2512.0,183.0,24.0,-,-,-,475.0,603.0,351,1965,1481,3797.0
Posey,711.0,14.0,1.0,-,-,-,58.0,29.0,10,79,724,813.0
Pulaski,163.0,2.0,1.0,-,-,-,7.0,15.0,4,122,62,188.0
Putnam,582.0,67.0,4.0,-,-,-,64.0,100.0,12,395,410,817.0
Randolph,405.0,4.0,0.0,-,-,-,23.0,56.0,18,295,175,488.0
Ripley,442.0,1.0,1.0,-,-,-,19.0,70.0,4,376,153,533.0
Rush,238.0,1.0,0.0,-,-,-,14.0,43.0,1,168,127,296.0
Scott,474.0,2.0,0.0,-,-,-,63.0,48.0,10,348,229,587.0
Shelby,691.0,7.0,2.0,-,-,-,139.0,140.0,82,453,444,979.0
Spencer,353.0,5.0,1.0,-,-,-,38.0,49.0,19,192,235,446.0
St. Joseph,4119.0,1148.0,72.0,-,-,-,1398.0,3515.0,613,2229,7410,10252.0
Starke,381.0,3.0,0.0,-,-,-,22.0,96.0,14,301,187,502.0
Steuben,479.0,7.0,1.0,-,-,-,87.0,144.0,29,308,381,718.0
Sullivan,389.0,3.0,0.0,-,-,-,5.0,94.0,0,172,319,491.0
Switzerland,76.0,0.0,0.0,-,-,-,6.0,26.0,0,44,64,108.0
Tippecanoe,2582.0,204.0,91.0,-,-,-,542.0,946.0,533,2079,1753,4365.0
Tipton,273.0,1.0,0.0,-,-,-,11.0,13.0,4,228,66,298.0
Union,82.0,0.0,,-,-,-,6.0,42.0,0,50,80,130.0
Vanderburgh,4882.0,607.0,37.0,-,-,-,479.0,479.0,50,886,5548,6484.0
Vermillion,247.0,1.0,0.0,-,-,-,0.0,47.0,1,172,122,295.0
Vigo,2057.0,173.0,29.0,-,-,-,70.0,640.0,53,1393,1523,2969.0
Wabash,408.0,6.0,2.0,-,-,-,48.0,62.0,16,348,162,526.0
Warren,95.0,0.0,0.0,-,-,-,2.0,11.0,1,81,26,108.0
Warrick,1812.0,31.0,9.0,-,-,-,156.0,132.0,9,266,1865,2140.0
Washington,346.0,2.0,0.0,-,-,-,36.0,38.0,6,222,194,422.0
Wayne,1181.0,68.0,7.0,-,-,-,120.0,280.0,57,860,739,1656.0
Wells,445.0,2.0,1.0,-,-,-,18.0,51.0,9,408,100,517.0
White,475.0,4.0,4.0,-,-,-,103.0,84.0,91,353,226,670.0
Whitley,433.0,3.0,1.0,-,-,-,48.0,47.0,15,381,136,532.0
